frame,status,foot_space_x,foot_space_y,foot_cx,foot_cy,foot_area,hand_space_x,hand_space_y,hand_space_z,hand_cx,hand_cy,hand_area,hand_to_foot_dx,hand_to_foot_dy,hand_to_foot_dz,hand_to_foot_distance_2d,hand_to_foot_distance_3d,red_candidates
40,ok,53.26,83.14,1001.96,794.20,1092,55.07,-404.72,3.5190,1032.05,235.44,1146,1.81,-487.86,3.5190,487.86,487.88,2
41,ok,53.25,83.19,1001.86,794.11,1088,55.16,-404.61,3.5196,1029.17,234.92,1091,1.91,-487.80,3.5196,487.80,487.82,2
42,ok,53.23,83.24,1001.31,793.98,1076,55.25,-404.48,3.5203,1027.20,235.25,1201,2.02,-487.72,3.5203,487.72,487.74,2
43,ok,53.22,83.30,1001.31,793.86,1070,55.33,-404.33,3.5211,1024.50,235.05,1239,2.11,-487.63,3.5211,487.63,487.65,2
44,ok,53.20,83.37,1000.98,793.81,1074,55.40,-404.14,3.5220,1021.83,235.12,1313,2.20,-487.51,3.5220,487.51,487.53,2
45,ok,53.18,83.44,1000.26,793.79,1064,55.46,-403.93,3.5231,1018.77,236.26,1333,2.28,-487.37,3.5231,487.38,487.39,2
46,ok,53.16,83.50,1000.20,794.00,1053,55.51,-403.68,3.5244,1015.94,237.87,1347,2.35,-487.18,3.5244,487.19,487.20,2
47,ok,53.13,83.55,999.35,794.17,1055,55.54,-403.40,3.5258,1012.84,239.16,1359,2.41,-486.95,3.5258,486.96,486.97,2
48,ok,53.11,83.58,999.23,794.24,1048,55.57,-403.07,3.5275,1010.13,239.76,1366,2.46,-486.65,3.5275,486.66,486.67,2
49,ok,53.08,83.58,998.94,794.13,1049,55.58,-402.69,3.5293,1007.67,239.68,1389,2.50,-486.27,3.5293,486.28,486.29,2
50,ok,53.05,83.55,998.86,793.92,1062,55.58,-402.28,3.5314,1005.63,238.75,1418,2.53,-485.83,3.5314,485.84,485.85,2
51,ok,53.02,83.48,999.19,793.87,1026,55.56,-401.82,3.5337,1004.05,237.34,1461,2.54,-485.30,3.5337,485.31,485.32,2
52,ok,52.98,83.38,999.15,793.93,1013,55.53,-401.31,3.5361,1003.55,235.98,1501,2.55,-484.69,3.5361,484.70,484.71,2
53,ok,52.94,83.25,999.35,793.79,1021,55.48,-400.77,3.5388,1003.36,235.27,1522,2.54,-484.02,3.5388,484.03,484.04,2
54,ok,52.90,83.07,999.57,794.07,1018,55.42,-400.19,3.5416,1003.70,234.71,1548,2.52,-483.26,3.5416,483.27,483.28,2
55,ok,52.86,82.85,1000.07,794.06,1033,55.35,-399.57,3.5447,1004.29,234.44,1556,2.49,-482.42,3.5447,482.43,482.44,2
56,ok,52.82,82.58,1000.37,794.15,1035,55.26,-398.92,3.5479,1004.93,234.26,1561,2.44,-481.50,3.5479,481.51,481.52,2
57,ok,52.77,82.27,1000.38,794.33,1028,55.15,-398.23,3.5513,1006.28,234.38,1576,2.38,-480.50,3.5513,480.51,480.52,2
58,ok,52.72,81.92,1000.32,794.54,1025,55.03,-397.49,3.5550,1007.62,234.34,1600,2.31,-479.41,3.5550,479.42,479.43,2
59,ok,52.67,81.52,1000.33,794.67,1023,54.90,-396.72,3.5588,1009.89,234.09,1623,2.23,-478.24,3.5588,478.25,478.26,2
60,ok,52.63,81.07,1000.39,794.83,1014,54.76,-395.91,3.5628,1012.13,233.70,1636,2.13,-476.98,3.5628,476.98,477.00,2
61,ok,52.57,80.58,1000.54,794.80,1008,54.61,-395.06,3.5670,1015.28,233.25,1643,2.04,-475.64,3.5670,475.64,475.66,2
62,ok,52.52,80.04,1000.65,794.88,1009,54.46,-394.17,3.5715,1018.72,232.92,1645,1.94,-474.21,3.5715,474.21,474.23,2
63,ok,52.47,79.46,1000.71,794.77,1005,54.29,-393.23,3.5762,1022.45,232.63,1625,1.82,-472.69,3.5762,472.69,472.71,2
64,ok,52.42,78.83,1000.95,794.34,1019,54.12,-392.25,3.5811,1026.65,231.99,1601,1.70,-471.08,3.5811,471.08,471.10,2
65,ok,52.36,78.15,1000.55,793.83,1004,53.94,-391.23,3.5863,1031.32,230.74,1579,1.58,-469.38,3.5863,469.38,469.40,2
66,ok,52.31,77.42,999.61,792.76,998,53.76,-390.17,3.5917,1036.01,229.08,1562,1.45,-467.59,3.5917,467.59,467.61,2
67,ok,52.25,76.65,997.75,790.47,1021,53.58,-389.06,3.5973,1041.09,225.87,1574,1.33,-465.71,3.5973,465.71,465.73,2
68,ok,52.19,75.82,995.18,787.67,1039,53.40,-387.92,3.6032,1046.02,222.41,1599,1.21,-463.74,3.6032,463.74,463.76,2
69,ok,52.13,74.93,993.11,785.08,999,53.22,-386.76,3.6092,1051.08,218.59,1628,1.09,-461.69,3.6092,461.69,461.71,2
70,ok,52.08,73.99,991.51,781.97,937,53.05,-385.57,3.6154,1056.15,215.51,1674,0.97,-459.56,3.6154,459.56,459.58,2
71,ok,52.02,72.97,989.63,778.26,847,52.88,-384.36,3.6218,1060.17,212.88,1682,0.86,-457.33,3.6218,457.33,457.35,2
72,ok,51.97,71.89,987.09,778.10,710,52.72,-383.15,3.6282,1063.63,210.43,1678,0.75,-455.04,3.6282,455.04,455.06,2
73,ok,51.92,70.73,985.96,780.58,705,52.57,-381.92,3.6347,1066.81,208.32,1684,0.65,-452.65,3.6347,452.65,452.67,2
74,ok,51.87,69.50,985.46,785.34,863,52.43,-380.69,3.6413,1069.93,206.26,1677,0.56,-450.19,3.6413,450.19,450.21,2
75,ok,51.82,68.21,983.72,792.80,1047,52.30,-379.46,3.6480,1072.63,204.73,1689,0.48,-447.67,3.6480,447.67,447.69,3
76,ok,51.78,66.88,980.78,802.92,1238,52.18,-378.23,3.6547,1074.94,203.07,1691,0.40,-445.11,3.6547,445.11,445.13,2
77,ok,51.74,65.50,977.08,814.45,1352,52.08,-377.01,3.6614,1076.81,201.86,1696,0.34,-442.51,3.6614,442.51,442.53,2
78,ok,51.70,64.11,973.18,825.91,1360,51.99,-375.79,3.6682,1078.26,200.82,1700,0.29,-439.90,3.6682,439.90,439.92,2
79,ok,51.67,62.71,970.93,835.24,1401,51.91,-374.58,3.6749,1078.87,199.70,1705,0.24,-437.29,3.6749,437.29,437.31,3
80,ok,51.64,61.32,968.56,842.12,1472,51.85,-373.39,3.6816,1078.97,198.63,1691,0.21,-434.71,3.6816,434.71,434.73,2
81,ok,51.61,59.94,966.16,847.45,1470,51.80,-372.21,3.6883,1078.67,197.97,1693,0.19,-432.15,3.6883,432.15,432.17,3
82,ok,51.59,58.58,963.48,851.58,1420,51.77,-371.05,3.6950,1077.63,196.68,1718,0.18,-429.63,3.6950,429.63,429.65,2
83,ok,51.57,57.24,962.57,855.67,1492,51.75,-369.91,3.7016,1076.61,195.87,1709,0.18,-427.15,3.7016,427.15,427.17,2
84,ok,51.56,55.93,963.98,859.63,1593,51.75,-368.79,3.7081,1075.29,194.82,1700,0.19,-424.72,3.7081,424.72,424.74,2
85,ok,51.56,54.65,967.63,863.07,1590,51.76,-367.69,3.7145,1073.80,193.92,1703,0.20,-422.34,3.7145,422.34,422.36,2
86,ok,51.56,53.40,971.14,866.60,1565,51.78,-366.61,3.7209,1071.88,193.18,1697,0.22,-420.01,3.7209,420.01,420.03,2
87,ok,51.56,52.20,975.20,869.70,1583,51.81,-365.55,3.7272,1069.50,192.31,1691,0.25,-417.75,3.7272,417.75,417.77,2
88,ok,51.56,51.03,978.55,872.84,1515,51.85,-364.51,3.7335,1066.82,191.86,1693,0.29,-415.54,3.7335,415.54,415.56,2
89,ok,51.57,49.91,981.20,873.63,1607,51.90,-363.50,3.7396,1064.03,190.93,1703,0.33,-413.41,3.7396,413.41,413.43,2
90,ok,51.58,48.83,980.64,874.11,1740,51.96,-362.50,3.7457,1061.17,190.10,1706,0.38,-411.33,3.7457,411.33,411.35,2
91,ok,51.59,47.80,981.87,874.05,1780,52.03,-361.53,3.7517,1058.41,188.09,1700,0.44,-409.33,3.7517,409.33,409.35,2
92,ok,51.60,46.81,981.37,874.20,1764,52.10,-360.59,3.7575,1055.41,185.31,1690,0.50,-407.40,3.7575,407.40,407.42,2
93,ok,51.61,45.86,981.31,874.44,1743,52.17,-359.67,3.7632,1052.35,182.90,1720,0.56,-405.53,3.7632,405.53,405.55,2
94,ok,51.62,44.96,981.12,874.98,1719,52.25,-358.79,3.7688,1049.87,180.76,1725,0.63,-403.75,3.7688,403.75,403.77,2
95,ok,51.64,44.11,980.85,875.15,1708,52.32,-357.96,3.7741,1046.99,178.79,1706,0.68,-402.07,3.7741,402.07,402.09,2
96,ok,51.66,43.30,980.67,875.67,1699,52.39,-357.16,3.7792,1044.45,177.55,1701,0.73,-400.46,3.7792,400.46,400.48,2
97,ok,51.67,42.54,980.35,876.11,1691,52.45,-356.41,3.7840,1041.82,176.17,1696,0.78,-398.95,3.7840,398.95,398.97,2
98,ok,51.69,41.83,979.83,876.25,1678,52.51,-355.70,3.7886,1039.65,175.27,1706,0.82,-397.53,3.7886,397.53,397.55,2
99,ok,51.72,41.17,979.23,876.51,1681,52.56,-355.03,3.7930,1037.36,173.97,1702,0.84,-396.20,3.7930,396.20,396.22,3
100,ok,51.74,40.56,978.90,876.51,1691,52.60,-354.41,3.7970,1035.74,172.88,1734,0.86,-394.97,3.7970,394.97,394.99,3
101,ok,51.76,40.01,978.35,876.56,1661,52.62,-353.83,3.8008,1034.09,171.85,1766,0.86,-393.84,3.8008,393.84,393.86,3
102,ok,51.79,39.52,978.27,876.63,1665,52.64,-353.29,3.8044,1032.95,170.71,1772,0.85,-392.81,3.8044,392.81,392.83,2
