frame,color,cx,cy,space_x,space_y,space_z,x,y,w,h,area
12,blue,563.18,769.22,0.08,100.16,97.48,554,758,21,22,366
12,blue,1395.93,773.79,100.12,100.36,84.60,1386,762,22,23,423
12,blue,231.53,966.81,-0.78,3.12,5.33,224,955,17,23,344
12,blue,1668.24,980.99,100.48,2.98,-19.96,1661,968,15,25,335
13,red,1042.17,235.43,53.10,-404.65,351.77,1013,209,60,57,946
13,red,225.79,771.67,-39.84,96.57,100.61,218,751,18,41,616
13,red,1002.58,794.18,53.41,83.16,79.69,982,779,41,36,1093
13,blue,563.10,769.18,0.06,100.20,97.51,554,758,21,22,366
13,blue,1395.87,773.77,100.12,100.38,84.61,1386,762,22,23,424
13,blue,231.44,966.70,-0.80,3.15,5.39,224,955,16,23,343
13,blue,1668.24,980.91,100.48,3.00,-19.92,1661,968,15,25,337
14,red,1042.15,235.56,53.10,-404.79,351.70,1013,209,60,57,957
14,red,225.76,771.75,-39.82,96.51,100.57,218,751,18,41,611
14,red,1002.55,794.26,53.41,83.11,79.65,982,780,41,35,1091
14,blue,563.11,769.21,0.07,100.17,97.49,554,758,21,22,366
14,blue,1395.87,773.77,100.12,100.38,84.61,1386,762,22,23,422
14,blue,231.42,966.73,-0.79,3.14,5.37,224,955,16,23,342
14,blue,1668.26,980.93,100.48,2.99,-19.93,1661,968,15,25,336
15,red,1042.07,235.56,53.11,-404.79,351.70,1013,209,60,57,938
15,red,225.71,771.57,-39.88,96.65,100.65,218,751,18,41,608
15,red,1002.54,794.28,53.41,83.09,79.64,982,780,41,35,1092
15,blue,563.11,769.20,0.07,100.18,97.50,554,758,21,22,366
15,blue,1395.89,773.79,100.12,100.37,84.61,1386,762,22,23,421
15,blue,231.29,966.75,-0.80,3.13,5.36,224,955,16,23,336
15,blue,1668.19,980.94,100.48,2.99,-19.94,1661,968,15,25,339
16,red,1042.38,235.55,53.07,-404.78,351.71,1014,209,59,57,969
16,red,225.71,771.54,-39.89,96.67,100.67,218,751,18,41,609
16,red,1002.55,794.22,53.41,83.13,79.67,982,779,41,36,1093
16,blue,563.11,769.17,0.06,100.20,97.51,554,758,21,22,364
16,blue,1395.87,773.77,100.12,100.38,84.62,1386,762,22,23,420
16,blue,231.27,966.75,-0.80,3.14,5.37,224,955,16,23,335
16,blue,1668.23,980.93,100.48,3.00,-19.93,1661,968,15,25,337
17,red,1042.15,235.63,53.10,-404.86,351.67,1014,210,59,56,942
17,red,225.66,771.82,-39.81,96.45,100.53,218,751,18,41,602
17,red,1002.47,794.32,53.40,83.06,79.62,982,780,41,35,1090
17,blue,563.06,769.22,0.06,100.16,97.49,554,758,21,22,364
17,blue,1395.82,773.78,100.11,100.37,84.61,1386,762,22,23,419
17,blue,231.23,966.89,-0.79,3.09,5.29,224,955,16,23,329
17,blue,1668.14,980.94,100.47,2.99,-19.93,1661,968,15,25,341
18,red,1042.29,235.71,53.08,-404.95,351.63,1014,210,59,56,948
18,red,225.61,771.78,-39.82,96.48,100.55,218,751,18,41,598
18,red,1002.50,794.37,53.40,83.03,79.60,982,780,41,35,1091
18,blue,562.88,769.15,0.03,100.22,97.52,554,758,20,22,363
18,blue,1395.90,773.86,100.11,100.30,84.57,1386,762,22,23,421
18,blue,231.23,966.82,-0.80,3.11,5.33,224,955,16,23,331
18,blue,1668.28,981.14,100.47,2.94,-20.04,1661,969,15,24,331
19,red,1042.54,235.66,53.04,-404.90,351.65,1014,209,59,57,968
19,red,225.44,771.51,-39.93,96.69,100.68,218,751,17,41,585
19,red,1002.50,794.37,53.40,83.03,79.60,982,780,41,35,1088
19,blue,562.83,769.16,0.03,100.21,97.52,554,758,20,22,363
19,blue,1395.83,773.91,100.09,100.27,84.55,1386,762,22,23,419
19,blue,231.12,966.89,-0.80,3.09,5.30,224,955,16,23,328
19,blue,1668.28,981.22,100.46,2.92,-20.07,1661,969,15,24,329
20,red,1042.50,235.80,53.05,-405.05,351.59,1014,209,60,58,948
20,red,225.36,771.66,-39.90,96.58,100.62,218,751,17,41,582
20,red,1002.43,794.38,53.39,83.02,79.59,982,780,41,35,1091
20,blue,562.76,769.18,0.02,100.19,97.51,554,758,20,22,365
20,blue,1395.71,773.91,100.08,100.27,84.55,1385,762,23,23,422
20,blue,231.15,966.87,-0.80,3.10,5.31,224,955,16,23,329
20,blue,1668.16,981.12,100.46,2.94,-20.02,1661,969,15,24,336
21,red,1042.38,235.77,53.06,-405.02,351.60,1014,209,60,58,946
21,red,225.39,771.52,-39.94,96.68,100.68,218,751,17,41,582
21,red,1002.35,794.40,53.39,83.00,79.58,982,780,41,35,1094
21,blue,562.84,769.18,0.03,100.20,97.51,554,758,20,22,365
21,blue,1395.64,773.99,100.06,100.20,84.51,1385,762,23,23,425
21,blue,231.10,966.90,-0.80,3.09,5.29,224,955,16,23,327
21,blue,1668.04,981.29,100.43,2.90,-20.10,1660,969,16,24,340
22,red,1042.12,235.55,53.10,-404.78,351.71,1013,209,60,57,955
22,red,225.30,771.70,-39.89,96.54,100.60,218,751,17,41,579
22,red,1002.37,794.25,53.39,83.11,79.66,982,779,41,36,1089
22,blue,562.70,768.90,-0.04,100.42,97.65,554,758,20,22,358
22,blue,1395.56,773.73,100.09,100.41,84.64,1385,762,23,23,424
22,blue,231.00,966.73,-0.83,3.14,5.38,224,955,16,23,325
22,blue,1667.99,981.02,100.46,2.97,-19.97,1660,968,16,25,348
23,red,1042.09,235.48,53.11,-404.71,351.74,1013,209,60,57,963
23,red,225.24,771.66,-39.91,96.57,100.61,218,751,17,41,574
23,red,1002.39,794.23,53.39,83.12,79.66,982,779,41,36,1090
23,blue,562.54,769.00,-0.04,100.34,97.60,553,758,21,22,359
23,blue,1395.56,773.73,100.09,100.41,84.64,1385,762,23,23,424
23,blue,230.75,966.73,-0.84,3.14,5.38,224,955,15,23,314
23,blue,1668.12,980.89,100.48,3.01,-19.91,1661,968,15,25,343
24,red,1042.09,235.57,53.11,-404.80,351.70,1013,209,60,57,965
24,red,225.13,771.72,-39.90,96.53,100.59,218,751,17,41,565
24,red,1002.32,794.30,53.38,83.07,79.63,982,780,41,35,1083
24,blue,562.32,769.06,-0.06,100.29,97.58,553,758,21,22,362
24,blue,1395.57,773.77,100.08,100.38,84.62,1385,762,23,23,424
24,blue,230.76,966.86,-0.83,3.10,5.32,224,955,15,23,310
24,blue,1668.11,980.96,100.47,2.99,-19.95,1661,968,15,25,341
25,red,1042.04,235.72,53.11,-404.97,351.63,1013,209,60,57,967
25,red,225.12,771.72,-39.90,96.52,100.59,218,751,17,41,564
25,red,1002.26,794.36,53.38,83.03,79.60,982,780,40,35,1082
25,blue,562.30,769.23,-0.03,100.15,97.49,553,758,20,22,361
25,blue,1395.67,773.91,100.07,100.26,84.55,1385,762,23,23,420
25,blue,230.76,966.80,-0.83,3.12,5.35,224,955,15,23,312
25,blue,1668.16,981.16,100.45,2.93,-20.04,1661,969,15,24,335
26,red,1041.92,235.65,53.13,-404.89,351.66,1013,209,60,57,960
26,red,224.97,771.44,-40.02,96.75,100.73,218,751,16,41,549
26,red,1002.12,794.41,53.36,82.99,79.58,982,780,40,35,1072
26,blue,562.08,769.02,-0.09,100.32,97.59,553,758,20,22,358
26,blue,1395.68,773.88,100.08,100.29,84.56,1385,762,23,23,420
26,blue,230.71,966.75,-0.84,3.13,5.37,224,955,15,23,312
26,blue,1668.24,981.21,100.46,2.92,-20.07,1661,969,15,24,329
27,red,1042.14,235.89,53.10,-405.15,351.55,1013,209,60,58,992
27,red,225.07,771.44,-40.00,96.75,100.73,218,751,17,41,555
27,red,1002.15,794.46,53.36,82.96,79.56,982,780,40,35,1076
27,blue,562.25,769.13,-0.05,100.24,97.54,553,758,20,22,357
27,blue,1395.38,774.00,100.02,100.19,84.51,1385,762,22,23,417
27,blue,230.72,966.65,-0.85,3.16,5.42,224,955,15,23,315
27,blue,1667.98,981.48,100.41,2.84,-20.20,1660,969,16,24,336
28,red,1041.97,235.88,53.12,-405.13,351.55,1013,209,60,58,970
28,red,225.06,771.13,-40.11,97.00,100.88,218,750,17,42,562
28,red,1002.11,794.54,53.36,82.90,79.52,982,780,40,35,1072
28,blue,562.24,768.79,-0.12,100.51,97.71,553,757,20,23,365
28,blue,1395.30,773.97,100.02,100.21,84.52,1385,762,22,23,415
28,blue,230.70,966.52,-0.87,3.20,5.48,224,955,15,23,320
28,blue,1667.99,981.52,100.41,2.83,-20.21,1660,969,16,24,335
29,red,1041.75,235.91,53.15,-405.17,351.54,1013,209,60,58,986
29,red,225.07,771.35,-40.03,96.82,100.77,218,751,17,41,556
29,red,1002.11,794.54,53.36,82.90,79.52,982,780,40,35,1072
29,blue,562.40,769.10,-0.04,100.26,97.55,553,758,21,22,363
29,blue,1395.35,773.98,100.02,100.20,84.52,1385,762,22,23,417
29,blue,230.72,966.59,-0.86,3.18,5.45,224,955,15,23,318
29,blue,1668.01,981.46,100.42,2.85,-20.19,1660,969,16,24,335
30,red,1041.47,235.86,53.19,-405.12,351.56,1012,209,60,57,997
30,red,224.99,771.16,-40.11,96.97,100.86,218,751,16,40,546
30,red,1002.12,794.53,53.36,82.91,79.52,982,780,40,35,1076
30,blue,562.10,769.07,-0.08,100.28,97.57,553,758,20,22,357
30,blue,1395.41,774.11,100.01,100.10,84.46,1385,762,22,24,421
30,blue,230.64,966.65,-0.86,3.16,5.42,224,955,15,23,314
30,blue,1668.02,981.52,100.41,2.83,-20.21,1660,969,16,24,332
31,red,1041.36,235.97,53.20,-405.24,351.51,1011,209,61,58,1036
31,red,224.97,771.26,-40.07,96.89,100.81,218,751,16,41,550
31,red,1002.10,794.56,53.36,82.89,79.51,982,780,40,35,1071
31,blue,562.08,769.08,-0.08,100.27,97.57,553,758,20,22,356
31,blue,1395.43,774.46,99.96,99.81,84.28,1385,762,22,24,421
31,blue,230.66,966.63,-0.86,3.17,5.43,224,955,15,23,315
31,blue,1667.98,981.55,100.41,2.82,-20.23,1660,969,16,24,334
32,red,1040.91,235.78,53.27,-405.02,351.61,1011,209,61,58,1038
32,red,224.90,771.29,-40.07,96.87,100.80,218,751,16,41,544
32,red,1002.08,794.59,53.36,82.87,79.49,982,780,40,35,1072
32,blue,562.04,769.08,-0.09,100.27,97.57,553,758,20,22,358
32,blue,1395.36,774.46,99.95,99.81,84.28,1385,762,22,24,420
32,blue,230.50,966.61,-0.87,3.17,5.44,224,955,15,23,308
32,blue,1668.00,981.70,100.39,2.78,-20.30,1660,970,16,23,330
33,red,1040.52,235.45,53.33,-404.66,351.78,1011,208,60,58,1021
33,red,224.88,770.86,-40.22,97.22,101.01,218,750,16,41,546
33,red,1002.02,794.58,53.35,82.88,79.50,982,780,40,35,1087
33,blue,562.00,768.80,-0.15,100.51,97.71,553,757,20,23,366
33,blue,1395.35,774.53,99.94,99.76,84.25,1385,762,22,24,418
33,blue,230.46,966.52,-0.89,3.20,5.49,224,955,15,23,311
33,blue,1667.87,981.51,100.40,2.83,-20.21,1660,969,16,24,338
34,red,1039.27,235.68,53.50,-404.91,351.68,1009,208,61,58,1006
34,red,225.16,771.40,-40.01,96.78,100.74,218,751,17,41,564
34,red,1002.08,794.53,53.36,82.91,79.52,982,780,40,35,1080
34,blue,562.41,769.25,-0.01,100.13,97.48,553,758,21,22,363
34,blue,1395.29,774.22,99.98,100.01,84.40,1385,762,23,23,417
34,blue,230.72,966.69,-0.85,3.15,5.40,224,955,15,23,315
34,blue,1667.80,981.37,100.41,2.87,-20.14,1660,969,16,24,344
35,red,1039.76,235.51,53.43,-404.73,351.76,1010,208,61,59,1007
35,red,225.22,770.52,-40.29,97.50,101.17,218,750,17,41,571
35,red,1002.13,794.50,53.36,82.94,79.54,982,780,40,35,1077
35,blue,562.73,768.35,-0.15,100.88,97.91,554,757,20,22,362
35,blue,1395.73,774.86,99.93,99.49,84.08,1385,763,23,23,421
35,blue,230.59,966.24,-0.91,3.28,5.62,223,954,16,24,327
35,blue,1668.06,981.85,100.39,2.74,-20.38,1660,970,16,23,320
36,red,1039.13,235.21,53.52,-404.40,351.91,1010,208,60,58,1002
36,red,225.33,770.33,-40.34,97.65,101.26,218,750,17,41,581
36,red,1002.74,794.42,53.43,82.99,79.57,982,779,41,36,1090
36,blue,563.12,768.35,-0.10,100.88,97.91,554,757,20,22,364
36,blue,1396.06,774.84,99.98,99.51,84.09,1386,763,22,23,420
36,blue,230.83,966.07,-0.91,3.33,5.70,223,954,16,24,341
36,blue,1668.28,981.84,100.40,2.74,-20.38,1661,970,15,23,309
37,red,1038.09,234.93,53.66,-404.09,352.06,1009,208,60,58,1005
37,red,225.45,770.44,-40.29,97.56,101.21,218,750,17,41,590
37,red,1002.88,794.47,53.44,82.96,79.54,982,779,41,36,1089
37,blue,563.40,768.47,-0.04,100.78,97.85,554,757,21,22,367
37,blue,1396.37,774.90,100.00,99.46,84.05,1386,763,22,23,417
37,blue,231.06,966.24,-0.88,3.28,5.61,223,954,17,24,349
37,blue,1668.51,981.99,100.40,2.70,-20.45,1661,970,15,23,298
38,red,1037.45,235.02,53.75,-404.19,352.03,1008,208,60,58,1019
38,red,225.75,770.27,-40.31,97.70,101.29,218,750,18,41,614
38,red,1003.20,794.50,53.48,82.94,79.53,983,779,40,36,1085
38,blue,563.78,768.34,-0.02,100.89,97.90,555,757,20,22,363
38,blue,1397.04,775.39,100.01,99.08,83.81,1387,763,22,24,427
38,blue,231.09,966.16,-0.89,3.30,5.65,223,954,17,24,352
38,blue,1668.85,982.14,100.42,2.66,-20.53,1662,971,14,22,280
39,red,1034.46,234.97,54.16,-404.12,352.09,1005,207,59,59,1095
39,red,225.34,771.33,-40.01,96.84,100.77,218,751,17,41,580
39,red,1002.06,794.27,53.35,83.10,79.65,981,779,41,36,1096
39,blue,562.94,769.12,0.03,100.24,97.53,554,758,20,22,363
39,blue,1395.99,774.54,100.01,99.75,84.24,1386,762,22,24,425
39,blue,230.91,966.61,-0.85,3.17,5.44,224,955,15,23,324
39,blue,1668.29,981.48,100.43,2.84,-20.20,1661,969,15,24,320
40,red,1032.05,235.44,54.49,-404.62,351.89,1001,208,61,58,1146
40,red,225.37,771.70,-39.88,96.54,100.60,218,751,17,41,585
40,red,1001.96,794.20,53.34,83.14,79.69,981,779,41,36,1092
40,blue,562.84,769.17,0.03,100.20,97.51,554,758,20,22,364
40,blue,1395.52,773.99,100.04,100.20,84.51,1385,762,23,23,420
40,blue,230.92,966.78,-0.82,3.12,5.35,224,955,15,23,319
40,blue,1668.21,981.25,100.45,2.91,-20.09,1661,969,15,24,329
41,red,1029.17,234.92,54.89,-404.04,352.18,999,207,61,59,1091
41,red,225.41,771.57,-39.92,96.64,100.66,218,751,17,41,587
41,red,1001.86,794.11,53.33,83.21,79.73,981,779,41,36,1088
41,blue,563.06,769.27,0.07,100.12,97.46,554,758,20,22,366
41,blue,1395.85,773.96,100.09,100.22,84.52,1386,762,22,23,422
41,blue,231.01,966.83,-0.81,3.11,5.33,224,955,16,23,323
41,blue,1668.27,981.28,100.45,2.90,-20.10,1661,969,15,24,326
42,red,1027.20,235.25,55.16,-404.39,352.05,996,207,61,59,1201
42,red,225.42,771.70,-39.87,96.54,100.59,218,751,17,41,589
42,red,1001.31,793.98,53.27,83.29,79.80,980,779,42,35,1076
42,blue,563.01,769.34,0.08,100.06,97.43,554,758,20,22,364
42,blue,1395.62,773.91,100.07,100.26,84.55,1385,762,23,23,422
42,blue,231.01,966.83,-0.81,3.11,5.33,224,955,16,23,323
