frame,color,cx,cy,space_x,space_y,space_z,x,y,w,h,area
0,red,818.97,662.16,29.70,121.14,91.47,814,658,10,9,64
0,red,215.28,686.87,-39.14,96.81,100.24,207,666,18,42,627
0,red,809.45,745.26,34.58,59.97,51.89,795,732,27,29,549
0,blue,552.56,684.93,-0.04,99.78,89.64,540,673,24,23,449
0,blue,1392.04,689.25,99.97,99.85,58.87,1381,677,22,24,410
0,blue,226.07,885.44,-0.87,2.68,4.53,222,875,10,21,176
1,red,754.09,461.43,-75.47,877.84,190.07,751,451,7,21,77
1,red,215.08,687.16,-39.07,96.58,100.11,207,667,18,41,608
1,red,809.13,745.30,34.56,59.95,51.89,795,733,27,28,565
1,blue,552.39,685.14,-0.02,99.61,89.55,540,673,24,24,458
1,blue,1392.02,689.31,99.96,99.80,58.85,1381,677,22,24,415
1,blue,225.91,885.46,-0.88,2.68,4.53,222,875,10,21,169
2,red,754.57,452.16,-95.48,1036.59,194.50,751,443,8,19,82
2,red,818.77,663.05,29.76,120.28,91.05,814,658,10,10,62
2,red,215.02,687.16,-39.08,96.58,100.11,207,667,18,41,600
2,red,809.01,745.09,34.53,60.07,51.99,795,733,27,28,559
2,blue,552.38,685.24,-0.01,99.53,89.50,540,673,24,24,462
2,blue,1391.95,689.43,99.93,99.71,58.79,1381,677,22,24,417
2,blue,225.70,885.66,-0.87,2.62,4.43,222,875,9,21,157
3,red,753.05,455.46,-88.42,974.59,192.97,751,442,5,29,94
3,red,817.97,663.27,29.67,120.07,90.97,814,659,9,9,64
3,red,214.83,687.66,-38.94,96.19,99.88,207,667,17,42,581
3,red,808.98,745.25,34.54,59.98,51.92,795,733,27,28,561
3,blue,551.98,685.38,-0.03,99.41,89.45,539,673,25,24,462
3,blue,1391.45,689.61,99.85,99.55,58.72,1380,678,23,23,415
3,blue,225.67,886.01,-0.84,2.52,4.27,222,876,9,20,150
4,red,752.63,459.64,-79.70,904.95,190.98,750,449,7,22,94
4,red,817.89,663.00,29.64,120.32,91.10,813,658,10,11,70
4,red,214.80,687.82,-38.90,96.06,99.80,207,667,17,42,578
4,red,808.37,744.75,34.45,60.25,52.17,795,733,26,26,526
4,blue,551.82,685.87,0.05,99.02,89.22,539,674,25,23,457
4,blue,1391.43,689.61,99.85,99.56,58.72,1380,678,23,23,414
4,blue,225.55,885.96,-0.85,2.54,4.30,222,876,9,20,146
5,red,752.33,459.00,-81.15,914.99,191.29,749,449,8,22,100
5,red,816.04,662.82,29.38,120.48,91.25,811,658,12,11,85
5,red,214.89,687.94,-38.85,95.96,99.74,207,668,17,41,586
5,red,808.84,745.45,34.53,59.86,51.82,794,733,28,29,563
5,blue,552.12,685.94,0.09,98.96,89.17,540,674,24,23,448
5,blue,1391.41,689.56,99.85,99.60,58.75,1380,678,23,23,417
5,blue,225.62,885.87,-0.85,2.56,4.34,222,876,9,20,149
6,red,751.86,458.80,-81.80,918.14,191.41,748,449,9,22,95
6,red,816.41,661.15,29.28,122.09,92.04,810,649,13,21,104
6,red,215.25,687.84,-38.84,96.04,99.78,207,667,18,42,617
6,red,809.16,745.47,34.57,59.85,51.80,795,733,27,29,571
6,blue,552.40,685.87,0.11,99.03,89.20,540,674,24,23,447
6,blue,1391.51,689.75,99.83,99.44,58.65,1380,678,23,23,422
6,blue,225.99,885.68,-0.85,2.61,4.41,222,875,10,21,167
7,red,750.02,459.95,-80.42,899.95,190.92,746,449,9,22,115
7,red,215.18,687.78,-38.87,96.09,99.81,207,667,18,42,611
7,red,808.98,745.45,34.55,59.87,51.82,795,731,27,31,606
7,blue,552.42,685.85,0.11,99.04,89.21,540,674,24,23,448
7,blue,1391.43,689.32,99.89,99.79,58.86,1380,677,23,24,420
7,blue,225.95,885.70,-0.85,2.61,4.41,222,875,10,21,165
8,red,749.35,458.34,-84.08,925.43,191.72,745,442,9,28,125
8,red,815.18,657.20,28.74,125.98,93.98,810,645,12,23,112
8,red,215.18,687.66,-38.90,96.19,99.87,207,667,18,42,610
8,red,809.72,745.80,34.64,59.67,51.62,795,731,27,31,595
8,blue,552.76,685.83,0.15,99.06,89.20,540,674,25,23,449
8,blue,1391.70,689.65,99.87,99.52,58.69,1380,678,23,23,426
8,blue,225.93,885.74,-0.85,2.60,4.39,222,875,10,21,164
