frame,color,cx,cy,space_x,space_y,space_z,x,y,w,h,area
9,red,748.35,455.10,-91.83,980.59,193.30,745,441,8,29,141
9,red,215.33,687.26,-39.01,96.50,100.05,207,667,18,41,621
9,red,809.43,745.29,34.58,59.96,51.88,795,730,27,31,610
9,blue,553.06,685.27,0.08,99.51,89.46,541,673,24,24,456
9,blue,1392.07,689.55,99.93,99.61,58.73,1380,678,24,23,422
9,blue,226.05,885.60,-0.85,2.64,4.45,222,875,10,21,171
10,red,747.92,455.18,-91.89,979.20,193.28,744,440,8,29,120
10,red,812.90,655.01,28.22,128.17,95.11,811,646,6,18,68
10,red,215.33,687.04,-39.08,96.67,100.15,207,667,18,41,625
10,red,809.52,745.50,34.60,59.84,51.78,795,732,27,29,584
10,blue,553.13,685.15,0.07,99.61,89.52,541,673,24,24,453
10,blue,1392.20,689.45,99.96,99.69,58.77,1381,677,23,24,426
10,blue,226.10,885.51,-0.86,2.66,4.49,222,875,10,21,175
11,red,746.17,453.73,-96.34,1005.53,194.04,744,446,6,17,63
11,red,910.53,612.68,38.68,180.18,112.10,908,607,7,12,60
11,red,215.37,686.67,-39.19,96.96,100.33,207,666,18,42,633
11,red,809.94,745.17,34.63,60.03,51.92,796,730,26,31,599
11,blue,553.23,684.89,0.03,99.82,89.64,541,673,24,23,447
11,blue,1392.51,689.49,99.99,99.66,58.74,1381,677,23,24,423
11,blue,226.07,885.44,-0.87,2.68,4.53,222,875,10,21,176
12,red,910.50,615.56,38.87,176.06,110.71,908,607,6,19,78
12,red,215.35,686.70,-39.18,96.94,100.32,207,666,18,42,633
12,red,810.40,745.20,34.67,60.01,51.89,796,732,27,29,595
12,blue,553.37,684.92,0.05,99.80,89.62,541,673,24,23,441
12,blue,1392.92,689.46,100.04,99.68,58.74,1381,677,24,24,431
12,blue,226.07,885.44,-0.87,2.68,4.53,222,875,10,21,176
13,red,742.22,454.48,-96.71,991.32,193.81,740,445,5,21,69
13,red,814.46,655.66,28.49,127.53,94.75,809,642,14,28,195
13,red,215.33,686.74,-39.18,96.91,100.30,207,666,18,42,631
13,red,809.85,744.79,34.60,60.24,52.11,795,730,27,31,574
13,blue,553.28,684.90,0.04,99.81,89.63,541,673,24,23,444
13,blue,1392.25,689.41,99.97,99.72,58.79,1381,677,23,24,423
13,blue,226.07,885.44,-0.87,2.68,4.53,222,875,10,21,176
14,red,813.36,654.51,28.23,128.69,95.34,806,642,16,23,223
14,red,215.30,686.92,-39.12,96.77,100.22,207,667,18,41,625
14,red,809.72,744.23,34.55,60.56,52.38,795,732,27,29,528
14,blue,553.22,684.90,0.03,99.81,89.63,541,673,24,23,447
14,blue,1392.28,688.89,100.06,100.14,59.04,1381,677,23,23,425
14,blue,226.07,885.44,-0.87,2.68,4.53,222,875,10,21,176
15,red,812.67,657.94,28.48,125.23,93.71,805,642,17,28,224
15,red,215.29,686.88,-39.14,96.80,100.24,207,667,18,41,623
15,red,809.34,744.23,34.52,60.55,52.39,795,732,27,29,549
15,blue,553.25,684.89,0.03,99.82,89.64,541,673,24,23,444
15,blue,1392.08,688.91,100.03,100.12,59.03,1381,677,23,23,422
15,blue,225.95,885.41,-0.88,2.69,4.55,222,875,10,21,171
16,red,809.82,654.56,27.76,128.62,95.43,805,642,9,24,98
16,red,215.27,686.88,-39.14,96.80,100.24,207,667,18,41,620
16,red,809.24,744.32,34.51,60.50,52.35,795,732,26,29,538
16,blue,552.98,684.90,0.00,99.81,89.64,541,673,24,23,449
16,blue,1392.02,688.85,100.03,100.17,59.07,1381,677,23,23,427
16,blue,225.93,885.56,-0.87,2.65,4.47,222,875,10,21,169
17,red,813.78,647.18,27.53,136.38,98.84,808,641,12,13,88
17,red,812.32,664.68,29.08,118.70,90.49,807,661,11,9,71
17,red,215.31,686.75,-39.17,96.90,100.29,207,666,18,42,626
17,red,809.16,744.06,34.49,60.65,52.48,795,732,26,29,540
17,blue,553.10,684.87,0.01,99.83,89.65,541,673,24,23,449
17,blue,1392.10,688.90,100.03,100.13,59.04,1381,677,23,23,426
17,blue,226.01,885.48,-0.87,2.67,4.51,222,875,10,21,173
18,red,215.29,686.74,-39.18,96.91,100.30,207,666,18,42,624
18,red,808.65,744.36,34.45,60.48,52.36,794,732,27,29,543
18,blue,553.02,684.94,0.02,99.77,89.62,541,673,24,23,449
18,blue,1392.06,688.94,100.02,100.10,59.02,1381,677,23,23,425
18,blue,225.91,885.59,-0.87,2.64,4.46,222,875,10,21,168
19,red,897.30,614.35,36.71,177.69,111.75,894,609,7,13,60
19,red,215.26,686.76,-39.18,96.90,100.30,207,666,18,42,622
19,red,808.72,744.72,34.48,60.28,52.18,794,732,27,29,554
19,blue,553.16,684.91,0.03,99.80,89.63,541,673,25,23,453
19,blue,1392.21,688.94,100.04,100.11,59.02,1381,677,23,23,421
19,blue,225.98,885.45,-0.88,2.68,4.53,222,875,10,21,172
20,red,215.32,686.77,-39.17,96.89,100.29,207,666,18,42,629
20,red,808.44,743.93,34.41,60.72,52.57,794,732,27,29,536
20,blue,553.17,684.85,0.02,99.85,89.66,541,673,24,23,447
20,blue,1392.12,688.85,100.05,100.18,59.06,1381,677,23,23,420
20,blue,226.06,885.50,-0.87,2.67,4.50,222,875,10,21,175
21,red,215.29,686.91,-39.13,96.78,100.22,207,666,18,42,627
21,red,807.85,743.88,34.35,60.75,52.61,793,732,28,29,529
21,blue,553.10,684.91,0.02,99.80,89.63,541,673,24,23,450
21,blue,1392.08,688.98,100.02,100.07,59.00,1380,677,24,23,426
21,blue,225.98,885.40,-0.88,2.69,4.55,222,875,10,21,172
22,red,215.26,686.97,-39.11,96.73,100.19,207,666,18,42,624
22,red,807.36,744.27,34.32,60.52,52.44,793,732,27,29,532
22,blue,553.10,684.91,0.02,99.80,89.63,541,673,24,23,450
22,blue,1392.20,688.94,100.04,100.10,59.02,1381,677,23,23,424
22,blue,225.95,885.41,-0.88,2.69,4.55,222,875,10,21,171
23,red,215.27,686.90,-39.13,96.79,100.23,207,666,18,42,626
23,red,807.38,744.35,34.33,60.48,52.40,793,731,27,30,536
23,blue,749.70,514.16,-20.29,436.32,164.90,746,503,8,28,148
23,blue,553.18,684.99,0.04,99.74,89.59,541,673,25,23,454
23,blue,1392.27,689.02,100.04,100.04,58.98,1381,677,23,23,425
23,blue,225.95,885.41,-0.88,2.69,4.55,222,875,10,21,171
24,red,215.22,686.98,-39.11,96.72,100.19,207,666,18,42,621
24,red,807.14,743.73,34.27,60.83,52.71,794,731,26,26,506
24,blue,749.44,516.83,-18.75,423.92,163.63,745,504,10,33,179
24,blue,871.11,547.21,23.06,315.13,144.88,868,541,6,16,70
24,blue,553.15,684.99,0.04,99.74,89.59,541,673,25,23,455
24,blue,1392.43,688.83,100.08,100.19,59.06,1381,677,23,23,418
24,blue,225.95,885.62,-0.86,2.63,4.44,222,875,10,21,168
25,red,215.24,687.00,-39.10,96.70,100.18,207,666,18,42,622
25,red,807.20,744.56,34.32,60.36,52.31,793,731,27,30,523
25,blue,750.78,513.48,-20.40,439.55,165.19,747,505,11,24,137
25,blue,868.58,540.66,21.07,335.24,148.11,860,520,18,45,362
25,blue,854.32,587.74,26.58,220.52,125.99,847,578,14,19,115
25,blue,553.22,684.92,0.04,99.79,89.62,541,673,25,23,453
25,blue,1392.36,688.94,100.06,100.10,59.01,1380,677,24,23,426
25,blue,225.99,885.52,-0.87,2.66,4.49,222,875,10,21,172
26,red,215.24,687.08,-39.08,96.65,100.14,207,667,18,41,621
26,red,807.28,744.71,34.34,60.28,52.24,792,733,28,28,519
26,blue,752.21,516.01,-18.46,427.71,163.92,748,505,11,26,146
26,blue,865.15,538.73,19.80,341.48,149.16,849,524,28,38,467
26,blue,854.25,588.32,26.65,219.46,125.72,846,579,15,18,91
26,blue,553.08,684.92,0.02,99.79,89.63,541,673,24,23,451
26,blue,1392.22,688.92,100.05,100.12,59.03,1380,677,24,23,425
26,blue,226.04,885.51,-0.87,2.67,4.50,222,875,10,21,174
27,red,215.20,687.03,-39.10,96.68,100.17,207,667,18,41,616
27,red,806.90,744.42,34.28,60.44,52.38,792,733,28,26,497
27,blue,752.63,515.80,-18.46,428.68,164.01,749,506,10,24,143
27,blue,859.95,550.07,21.15,306.71,143.89,840,508,39,96,1698
27,blue,758.26,608.66,13.78,184.98,119.23,751,605,14,8,85
27,blue,553.14,684.91,0.02,99.80,89.63,541,673,24,23,447
27,blue,1392.01,688.83,100.03,100.19,59.08,1380,677,24,23,431
27,blue,226.04,885.51,-0.87,2.67,4.50,222,875,10,21,174
28,red,215.27,687.02,-39.09,96.69,100.17,207,667,18,41,623
28,red,806.04,743.89,34.17,60.74,52.67,792,733,28,26,468
28,blue,858.14,556.74,22.12,288.54,140.75,839,505,38,95,2327
28,blue,753.06,517.82,-17.17,419.57,163.03,750,507,8,25,125
28,blue,553.13,684.94,0.03,99.77,89.62,541,673,24,23,449
28,blue,1392.35,688.85,100.07,100.18,59.06,1381,677,23,23,423
28,blue,226.04,885.51,-0.87,2.67,4.50,222,875,10,21,174
29,red,215.30,686.96,-39.11,96.73,100.19,207,667,18,41,623
29,red,806.32,744.92,34.25,60.15,52.16,793,733,27,27,502
29,blue,857.63,555.31,21.73,292.32,141.45,839,504,37,95,2270
29,blue,753.19,517.00,-17.61,423.24,163.42,751,508,5,21,80
29,blue,553.17,684.85,0.02,99.85,89.66,541,673,24,23,448
29,blue,1392.37,688.73,100.09,100.27,59.11,1381,677,23,23,427
29,blue,226.02,885.42,-0.88,2.69,4.54,222,875,10,21,174
30,red,215.29,686.93,-39.12,96.76,100.21,207,667,18,41,621
30,red,806.35,744.64,34.24,60.31,52.30,790,732,30,29,553
30,blue,857.24,555.34,21.65,292.21,141.45,838,503,37,96,2113
30,blue,552.99,684.94,0.01,99.78,89.62,541,673,24,23,451
30,blue,1392.34,688.80,100.08,100.22,59.08,1381,677,23,23,426
30,blue,226.01,885.48,-0.87,2.67,4.51,222,875,10,21,173
31,red,215.32,687.00,-39.09,96.71,100.18,207,667,18,41,624
31,red,805.58,744.50,34.16,60.39,52.39,792,732,28,28,494
31,blue,858.47,556.17,22.08,290.04,141.01,838,504,37,96,1943
31,blue,553.23,684.89,0.03,99.82,89.64,541,673,24,23,445
31,blue,1392.22,688.78,100.07,100.23,59.09,1381,677,23,23,425
31,blue,226.07,885.51,-0.86,2.67,4.50,222,875,10,21,174
32,red,215.31,687.01,-39.09,96.70,100.17,207,667,18,41,623
32,red,805.33,744.63,34.14,60.32,52.34,792,732,28,29,528
32,blue,859.77,557.58,22.63,286.39,140.29,839,507,39,95,2009
32,blue,553.24,685.00,0.05,99.73,89.59,541,673,24,24,451
32,blue,1392.46,688.83,100.09,100.19,59.06,1381,677,23,23,425
32,blue,226.01,885.46,-0.87,2.68,4.52,222,875,10,21,173
33,red,215.25,687.10,-39.07,96.63,100.13,207,667,18,41,617
33,red,804.94,744.80,34.11,60.22,52.27,790,733,30,28,542
33,blue,863.38,561.97,24.20,275.40,138.06,843,507,34,97,1619
33,blue,553.04,684.97,0.02,99.75,89.61,541,673,24,23,452
33,blue,1392.15,688.93,100.04,100.11,59.02,1380,677,24,23,429
33,blue,226.01,885.48,-0.87,2.67,4.51,222,875,10,21,173
34,red,215.21,687.18,-39.05,96.57,100.10,207,667,18,41,612
34,red,805.24,745.49,34.18,59.83,51.93,792,733,28,28,501
34,blue,867.46,531.55,18.59,366.43,152.53,853,511,29,46,611
34,blue,863.46,589.43,28.44,217.52,124.87,842,573,36,34,692
34,blue,553.19,685.15,0.07,99.60,89.51,541,673,24,24,458
34,blue,1392.37,689.09,100.04,99.98,58.94,1381,677,23,23,421
34,blue,225.87,885.61,-0.87,2.63,4.45,222,875,10,21,166
35,red,215.22,687.10,-39.07,96.63,100.13,207,667,18,41,614
35,red,804.57,744.95,34.08,60.14,52.21,791,733,28,28,522
35,blue,868.08,558.06,24.48,285.26,139.77,844,517,40,91,1187
35,blue,553.10,684.93,0.02,99.78,89.62,541,673,24,23,453
35,blue,1392.19,688.89,100.05,100.14,59.04,1381,677,23,23,431
35,blue,225.99,885.48,-0.87,2.67,4.51,222,875,10,21,172
36,red,686.32,479.92,-74.62,659.20,183.51,679,473,17,13,114
36,red,215.18,687.04,-39.10,96.68,100.16,207,667,18,41,611
36,red,804.26,745.11,34.06,60.04,52.15,790,734,29,28,533
36,blue,865.69,533.73,18.70,358.56,151.54,843,521,33,32,419
36,blue,870.22,582.92,28.80,229.78,127.76,858,557,26,49,604
36,blue,553.27,684.86,0.03,99.84,89.65,541,673,24,23,447
36,blue,1392.45,688.90,100.08,100.13,59.03,1381,677,23,23,425
36,blue,225.86,885.55,-0.87,2.65,4.48,222,875,10,21,166
37,red,862.17,331.50,137.42,-1265.33,248.76,859,327,8,10,60
37,red,691.43,475.64,-79.16,700.52,185.39,683,465,18,21,213
37,red,215.17,687.14,-39.07,96.59,100.11,207,667,18,41,609
37,red,805.87,747.03,34.33,58.98,51.17,791,734,28,28,580
37,blue,873.61,565.72,26.93,266.52,135.91,864,525,20,72,845
37,blue,553.26,684.89,0.04,99.82,89.64,541,673,24,23,447
37,blue,1392.37,689.04,100.05,100.03,58.97,1381,677,23,23,422
37,blue,225.86,885.55,-0.87,2.65,4.48,222,875,10,21,166
38,red,866.40,333.49,137.68,-1302.50,247.66,863,329,9,10,63
38,red,694.47,472.02,-83.92,738.80,187.02,686,461,17,22,210
38,red,215.15,687.16,-39.06,96.58,100.10,207,667,18,41,607
38,red,806.35,747.46,34.40,58.73,50.94,792,734,27,28,557
38,blue,874.52,538.41,21.97,342.70,148.99,869,527,11,25,182
38,blue,872.34,580.37,28.84,234.82,128.92,868,564,14,30,260
38,blue,552.98,684.93,0.01,99.79,89.63,541,673,24,23,449
38,blue,1392.36,689.01,100.05,100.04,58.98,1381,677,23,23,421
38,blue,225.82,885.70,-0.86,2.61,4.41,222,875,10,21,162
39,red,871.01,335.38,137.58,-1340.01,246.59,867,331,10,10,71
39,red,698.18,468.22,-89.19,783.08,188.72,691,457,15,21,199
39,red,215.12,687.17,-39.06,96.57,100.10,207,667,18,41,602
39,red,807.26,747.57,34.50,58.68,50.86,792,735,27,27,508
39,blue,876.94,543.41,23.61,326.70,146.50,873,532,9,24,131
39,blue,875.51,582.02,29.65,231.59,128.02,868,573,16,21,271
39,blue,841.29,612.21,27.62,180.37,114.69,839,605,5,16,68
39,blue,553.04,685.11,0.05,99.63,89.54,541,673,24,24,461
39,blue,1392.28,689.10,100.03,99.98,58.94,1381,677,23,23,421
39,blue,225.85,885.70,-0.86,2.61,4.41,222,875,10,21,163
40,red,875.94,335.61,134.91,-1344.42,246.31,872,331,10,10,70
40,red,702.13,460.52,-103.48,887.78,192.28,695,446,14,27,230
40,red,215.08,687.10,-39.09,96.63,100.14,207,667,18,41,602
40,red,808.19,746.48,34.53,59.29,51.35,799,733,19,27,440
40,blue,876.20,542.31,23.21,330.11,147.06,868,534,15,13,70
40,blue,851.84,547.41,18.74,314.29,145.44,841,544,19,9,86
40,blue,553.21,684.88,0.03,99.83,89.65,541,673,24,23,446
40,blue,1392.43,689.01,100.06,100.05,58.98,1381,677,23,23,423
40,blue,225.82,885.70,-0.86,2.61,4.41,222,875,10,21,162
41,red,880.49,334.56,130.73,-1322.34,246.67,877,330,9,10,61
41,red,706.12,454.39,-116.92,989.75,195.09,700,441,13,27,259
41,red,215.09,687.13,-39.08,96.60,100.12,207,667,18,41,601
41,red,806.16,743.96,34.18,60.70,52.63,797,731,19,27,430
41,blue,553.08,684.95,0.02,99.77,89.61,541,673,24,23,451
41,blue,1392.45,689.02,100.06,100.04,58.97,1381,677,23,23,423
41,blue,225.72,885.54,-0.88,2.65,4.49,222,875,9,21,159
42,red,886.92,331.52,123.32,-1263.63,247.91,884,327,8,10,60
42,red,711.11,448.59,-131.64,1107.19,197.70,705,436,13,28,229
42,red,890.25,649.24,38.16,134.59,95.23,887,636,8,30,115
42,red,215.13,687.17,-39.06,96.57,100.10,207,667,18,41,603
42,red,803.42,741.36,33.76,62.17,53.97,794,728,20,28,435
42,blue,553.29,684.95,0.05,99.77,89.61,541,673,24,23,444
42,blue,1392.46,689.13,100.04,99.95,58.92,1381,677,23,23,422
42,blue,225.90,885.57,-0.87,2.65,4.47,222,875,10,21,166
43,red,894.84,327.89,115.25,-1200.78,249.38,891,323,10,10,64
43,red,715.67,444.28,-144.14,1211.55,199.61,709,432,13,26,233
43,red,893.16,646.68,38.39,137.36,96.37,890,633,8,28,119
43,red,215.12,687.16,-39.07,96.58,100.11,207,667,18,41,602
43,red,801.16,738.78,33.38,63.66,55.29,792,725,19,28,400
43,blue,553.38,685.16,0.10,99.60,89.51,541,673,25,24,457
43,blue,1392.45,689.28,100.02,99.83,58.85,1381,677,23,24,420
43,blue,225.90,885.57,-0.87,2.65,4.47,222,875,10,21,166
44,red,903.16,325.53,108.83,-1163.27,250.23,899,321,11,10,70
44,red,719.27,442.41,-149.15,1262.76,200.39,712,429,15,27,279
44,red,894.25,653.84,38.98,129.81,92.89,892,648,5,14,61
44,red,215.09,687.25,-39.04,96.50,100.06,207,667,18,41,599
44,red,798.99,735.79,32.97,65.41,56.80,789,723,20,26,378
44,blue,553.19,685.16,0.08,99.60,89.51,541,673,24,24,453
44,blue,1392.50,689.19,100.04,99.90,58.89,1381,677,23,24,424
44,blue,225.83,885.42,-0.89,2.69,4.55,222,875,9,21,164
45,red,911.06,323.65,103.38,-1135.20,250.86,906,319,13,10,80
45,red,722.98,442.01,-148.27,1274.78,200.46,715,430,16,25,318
45,red,215.15,687.35,-39.00,96.43,100.01,207,667,18,41,603
45,red,801.22,734.82,33.14,65.99,57.19,794,724,15,23,272
45,blue,553.37,685.23,0.11,99.54,89.47,542,673,24,24,455
45,blue,1392.56,689.23,100.04,99.87,58.87,1381,677,23,24,424
45,blue,225.83,885.42,-0.89,2.69,4.55,222,875,9,21,164
46,red,918.08,321.93,98.77,-1110.88,251.44,914,317,11,10,76
46,red,728.23,442.80,-141.49,1253.04,199.90,719,430,17,25,273
46,red,215.15,687.32,-39.01,96.45,100.03,207,667,18,41,604
46,red,802.39,733.97,33.21,66.50,57.56,796,724,14,21,232
46,blue,553.35,685.07,0.08,99.67,89.55,541,673,25,23,450
46,blue,1392.70,689.16,100.07,99.92,58.89,1381,677,24,24,429
46,blue,225.92,885.57,-0.87,2.65,4.47,222,875,10,21,167
47,red,925.10,320.60,94.58,-1092.73,251.84,920,316,11,10,68
47,red,732.34,442.93,-138.22,1250.16,199.70,722,429,19,27,294
47,red,902.61,654.93,40.16,128.73,92.08,901,643,4,24,84
47,red,215.14,687.23,-39.04,96.52,100.07,207,667,18,41,606
47,red,803.07,734.75,33.32,66.04,57.16,797,724,13,22,195
47,blue,772.21,618.95,17.78,170.38,113.82,764,613,15,14,131
47,blue,553.61,685.00,0.10,99.73,89.57,542,673,24,23,450
47,blue,1392.39,689.13,100.03,99.95,58.92,1381,677,23,23,423
47,blue,225.99,885.59,-0.86,2.64,4.46,222,875,10,21,170
48,red,736.77,442.95,-135.13,1250.19,199.54,726,429,19,27,310
48,red,905.61,654.75,40.55,128.93,92.07,903,644,7,24,88
48,red,215.17,687.24,-39.04,96.52,100.07,207,667,18,41,607
48,red,805.69,742.75,34.07,61.38,53.23,802,734,9,19,109
48,blue,781.18,607.94,17.35,186.23,118.79,775,596,13,28,153
48,blue,553.49,684.99,0.08,99.74,89.58,542,673,24,23,445
48,blue,1392.38,688.97,100.06,100.08,59.00,1381,677,23,23,431
48,blue,226.01,885.64,-0.85,2.63,4.43,222,875,10,21,170
49,red,740.08,441.39,-138.89,1295.12,200.17,731,428,20,28,300
49,red,215.18,687.35,-39.00,96.43,100.01,207,667,18,41,606
49,red,809.92,751.52,34.98,56.52,48.87,806,741,9,23,104
49,blue,788.77,605.54,18.18,189.95,119.69,782,597,14,25,192
49,blue,553.54,685.01,0.09,99.72,89.57,542,673,24,23,449
49,blue,1392.46,689.06,100.05,100.01,58.95,1381,677,23,23,422
49,blue,225.96,885.56,-0.87,2.65,4.48,222,875,10,21,169
50,red,745.00,439.90,-141.45,1341.19,200.72,735,424,21,32,401
50,red,215.17,687.17,-39.06,96.57,100.10,207,667,18,41,612
50,red,813.25,762.12,35.85,50.94,43.67,808,750,13,28,298
50,blue,801.11,543.18,5.99,326.26,149.21,796,525,12,34,198
50,blue,801.25,587.72,17.09,220.07,127.82,790,572,28,33,405
50,blue,552.86,684.87,-0.02,99.83,89.66,541,673,24,23,450
50,blue,1391.20,688.23,100.03,100.68,59.39,1380,676,23,23,420
50,blue,226.02,885.55,-0.86,2.65,4.48,222,875,10,21,173
51,red,751.89,440.18,-135.34,1333.40,200.35,741,423,22,34,435
51,red,215.15,687.33,-39.01,96.45,100.03,207,667,18,41,604
51,red,824.22,774.80,37.47,44.70,37.21,817,762,16,30,352
51,blue,808.83,543.59,7.90,325.12,148.75,804,516,16,57,417
51,blue,808.37,591.39,19.03,213.50,125.81,797,581,24,24,289
51,blue,553.38,685.27,0.12,99.51,89.45,541,673,25,24,461
51,blue,1392.31,689.22,100.01,99.88,58.88,1381,677,23,23,423
51,blue,225.95,885.61,-0.86,2.63,4.45,222,875,10,21,168
52,red,756.93,440.90,-128.89,1311.88,199.83,744,424,25,34,478
52,red,215.16,687.34,-39.00,96.44,100.02,207,667,18,41,603
52,red,834.62,784.28,38.80,40.30,32.30,818,773,29,31,478
52,blue,815.86,536.01,7.15,349.78,152.15,811,517,15,40,367
52,blue,825.27,585.26,20.96,224.88,128.18,820,581,12,8,70
52,blue,553.34,685.28,0.12,99.50,89.45,541,673,25,24,461
52,blue,1392.28,689.17,100.01,99.92,58.90,1381,677,23,23,426
52,blue,225.98,885.62,-0.86,2.63,4.45,222,875,10,21,168
53,red,763.23,442.15,-119.90,1276.02,199.01,752,425,24,34,492
53,red,215.14,687.28,-39.03,96.48,100.05,207,667,18,41,604
53,red,858.11,795.70,41.28,35.30,26.01,838,783,37,31,761
53,blue,820.78,532.99,7.35,360.42,153.43,814,499,16,58,555
53,blue,824.30,584.95,20.73,225.45,128.36,820,581,9,8,60
53,blue,828.99,611.37,25.55,181.50,115.52,825,605,11,12,71
53,blue,553.49,685.21,0.12,99.56,89.48,542,673,24,24,455
53,blue,1392.39,688.92,100.07,100.12,59.02,1381,677,23,23,429
53,blue,226.02,885.58,-0.86,2.64,4.46,222,875,10,21,171
54,red,769.66,443.33,-111.48,1243.95,198.23,759,425,22,36,441
54,red,215.05,687.18,-39.07,96.56,100.10,207,667,18,41,597
54,red,870.18,803.47,42.55,32.04,21.87,845,792,47,29,675
54,red,844.30,819.04,40.87,25.77,15.28,841,812,7,15,73
54,blue,826.65,536.20,9.83,349.32,151.69,816,498,20,75,814
54,blue,833.65,602.27,25.07,195.42,119.72,830,589,12,32,160
54,blue,553.42,685.11,0.09,99.64,89.53,542,673,24,24,452
54,blue,1392.34,688.84,100.07,100.18,59.06,1381,677,23,23,430
54,blue,225.99,885.55,-0.86,2.65,4.48,222,875,10,21,170
55,red,776.39,445.51,-100.22,1187.36,196.95,765,427,23,37,485
55,red,215.05,687.25,-39.05,96.51,100.07,207,667,18,41,597
55,red,884.69,815.95,44.10,27.06,15.38,864,802,45,37,888
55,blue,831.99,523.84,7.04,395.50,157.44,827,515,11,19,160
55,blue,553.44,685.29,0.13,99.49,89.44,542,673,24,24,459
55,blue,1392.43,689.09,100.04,99.98,58.93,1381,677,23,23,423
55,blue,225.99,885.55,-0.86,2.65,4.48,222,875,10,21,170
