frame,status,foot_space_x,foot_space_y,foot_cx,foot_cy,foot_area,hand_space_x,hand_space_y,hand_space_z,hand_cx,hand_cy,hand_area,hand_to_foot_dx,hand_to_foot_dy,hand_to_foot_dz,hand_to_foot_distance_2d,hand_to_foot_distance_3d,red_candidates
0,ok,34.52,60.14,809.45,745.26,549,-37.66,622.18,1.5566,818.97,662.16,64,-72.18,562.04,1.5566,566.66,566.66,2
1,ok,34.52,60.15,809.13,745.30,565,-36.31,614.12,1.5489,754.09,461.43,77,-70.83,553.97,1.5489,558.48,558.48,2
2,ok,34.51,60.16,809.01,745.09,559,-34.82,605.19,1.5399,754.57,452.16,82,-69.33,545.03,1.5399,549.42,549.42,3
3,ok,34.51,60.17,808.98,745.25,561,-33.15,594.92,1.5297,753.05,455.46,94,-67.66,534.75,1.5297,539.01,539.02,3
4,ok,34.50,60.17,808.37,744.75,526,-31.34,583.64,1.5184,752.63,459.64,94,-65.84,523.47,1.5184,527.59,527.60,3
5,ok,34.50,60.18,808.84,745.45,563,-29.42,571.65,1.5063,752.33,459.00,100,-63.92,511.47,1.5063,515.45,515.45,3
6,ok,34.49,60.19,809.16,745.47,571,-27.55,559.69,1.4943,751.86,458.80,95,-62.04,499.50,1.4943,503.34,503.34,3
7,ok,34.49,60.19,808.98,745.45,606,-25.43,544.87,1.4834,750.02,459.95,115,-59.92,484.68,1.4834,488.37,488.37,2
8,ok,34.48,60.20,809.72,745.80,595,-23.05,527.42,1.4734,749.35,458.34,125,-57.53,467.22,1.4734,470.75,470.75,3
9,ok,34.48,60.20,809.43,745.29,610,-20.44,507.39,1.4642,748.35,455.10,141,-54.92,447.19,1.4642,450.55,450.55,2
10,ok,34.47,60.20,809.52,745.50,584,-17.58,484.79,1.4555,747.92,455.18,120,-52.05,424.59,1.4555,427.77,427.77,3
11,ok,34.46,60.21,809.94,745.17,599,-14.49,459.76,1.4475,746.17,453.73,63,-48.95,399.55,1.4475,402.54,402.54,3
12,ok,34.46,60.21,810.40,745.20,595,-11.16,432.41,1.4398,910.50,615.56,78,-45.62,372.20,1.4398,374.99,374.99,2
13,ok,34.45,60.22,809.85,744.79,574,-7.96,404.92,1.4347,742.22,454.48,69,-42.41,344.70,1.4347,347.30,347.30,3
14,ok,34.44,60.24,809.72,744.23,528,-4.54,375.28,1.4298,813.36,654.51,223,-38.98,315.04,1.4298,317.44,317.45,2
15,ok,34.43,60.26,809.34,744.23,549,-1.20,345.58,1.4276,812.67,657.94,224,-35.63,285.32,1.4276,287.54,287.54,2
16,ok,34.41,60.29,809.24,744.32,538,2.07,315.78,1.4278,809.82,654.56,98,-32.34,255.49,1.4278,257.53,257.53,2
17,ok,34.40,60.32,809.16,744.06,540,5.27,285.78,1.4304,813.78,647.18,88,-29.13,225.46,1.4304,227.33,227.34,3
18,foot_only,34.38,60.36,808.65,744.36,543,8.17,258.13,1.4346,,,,-26.21,197.77,1.4346,199.50,199.50,1
19,ok,34.37,60.38,808.72,744.72,554,10.78,232.69,1.4402,897.30,614.35,60,-23.59,172.31,1.4402,173.92,173.92,2
20,foot_only,34.36,60.40,808.44,743.93,536,13.10,209.23,1.4471,,,,-21.26,148.83,1.4471,150.34,150.35,1
21,foot_only,34.35,60.40,807.85,743.88,529,15.15,187.61,1.4551,,,,-19.20,127.21,1.4551,128.65,128.66,1
22,foot_only,34.35,60.37,807.36,744.27,532,16.96,167.67,1.4643,,,,-17.39,107.30,1.4643,108.70,108.71,1
23,foot_only,34.35,60.32,807.38,744.35,536,18.54,149.26,1.4746,,,,-15.81,88.94,1.4746,90.33,90.35,1
