frame,status,foot_space_x,foot_space_y,foot_cx,foot_cy,foot_area,hand_space_x,hand_space_y,hand_space_z,hand_cx,hand_cy,hand_area,hand_to_foot_dx,hand_to_foot_dy,hand_to_foot_dz,hand_to_foot_distance_2d,hand_to_foot_distance_3d,red_candidates
24,foot_only,34.37,60.24,807.14,743.73,506,19.92,132.24,1.4860,,,,-14.45,72.00,1.4860,73.44,73.45,1
25,foot_only,34.39,60.13,807.20,744.56,523,21.12,116.48,1.4986,,,,-13.27,56.35,1.4986,57.89,57.91,1
26,foot_only,34.43,59.97,807.28,744.71,519,22.16,101.85,1.5124,,,,-12.27,41.88,1.5124,43.64,43.67,1
27,foot_only,34.47,59.79,806.90,744.42,497,23.06,88.21,1.5272,,,,-11.41,28.42,1.5272,30.62,30.66,1
28,foot_only,34.54,59.56,806.04,743.89,468,23.83,75.42,1.5432,,,,-10.71,15.86,1.5432,19.14,19.20,1
29,foot_only,34.62,59.29,806.32,744.92,502,24.49,63.35,1.5604,,,,-10.13,4.06,1.5604,10.91,11.02,1
30,foot_only,34.71,58.98,806.35,744.64,553,25.07,51.87,1.5788,,,,-9.64,-7.11,1.5788,11.98,12.08,1
31,foot_only,34.82,58.63,805.58,744.50,494,25.57,40.94,1.5983,,,,-9.25,-17.69,1.5983,19.96,20.03,1
32,foot_only,34.95,58.24,805.33,744.63,528,26.01,30.50,1.6184,,,,-8.94,-27.74,1.6184,29.15,29.19,1
33,foot_only,35.09,57.82,804.94,744.80,542,26.27,21.67,1.6401,,,,-8.82,-36.15,1.6401,37.21,37.25,1
34,foot_only,35.25,57.35,805.24,745.49,501,26.37,14.28,1.6634,,,,-8.88,-43.07,1.6634,43.98,44.01,1
35,foot_only,35.42,56.84,804.57,744.95,522,26.33,8.27,1.6881,,,,-9.09,-48.57,1.6881,49.41,49.44,1
36,ok,35.62,56.30,804.26,745.11,533,26.15,3.60,1.7144,686.32,479.92,114,-9.47,-52.70,1.7144,53.54,53.57,2
37,ok,35.83,55.72,805.87,747.03,580,26.09,-0.71,1.7407,862.17,331.50,60,-9.74,-56.43,1.7407,57.26,57.29,3
38,ok,36.05,55.10,806.35,747.46,557,25.72,-0.59,1.7657,866.40,333.49,63,-10.33,-55.69,1.7657,56.64,56.67,3
39,ok,36.30,54.44,807.26,747.57,508,25.04,4.08,1.7893,871.01,335.38,71,-11.26,-50.36,1.7893,51.60,51.63,3
40,ok,36.55,53.75,808.19,746.48,440,24.08,13.43,1.8117,875.94,335.61,70,-12.47,-40.32,1.8117,42.20,42.24,3
41,ok,36.83,53.02,806.16,743.96,430,22.84,27.58,1.8329,880.49,334.56,61,-13.99,-25.44,1.8329,29.03,29.09,3
42,ok,37.12,52.25,803.42,741.36,435,21.33,46.52,1.8528,886.92,331.52,60,-15.79,-5.73,1.8528,16.80,16.90,4
43,ok,37.43,51.44,801.16,738.78,400,19.60,70.14,1.8714,894.84,327.89,64,-17.83,18.70,1.8714,25.84,25.91,4
44,ok,37.76,50.58,798.99,735.79,378,17.80,97.43,1.8879,903.16,325.53,70,-19.96,46.85,1.8879,50.92,50.96,4
45,ok,38.11,49.67,801.22,734.82,272,15.80,129.12,1.9030,911.06,323.65,80,-22.31,79.45,1.9030,82.52,82.54,3
46,ok,38.48,48.72,802.39,733.97,232,13.76,164.19,1.9156,918.08,321.93,76,-24.72,115.47,1.9156,118.09,118.10,3
47,ok,38.87,47.72,803.07,734.75,195,11.68,202.54,1.9258,925.10,320.60,68,-27.19,154.82,1.9258,157.19,157.20,4
48,ok,39.28,46.67,805.69,742.75,109,9.57,244.08,1.9336,736.77,442.95,310,-29.71,197.41,1.9336,199.63,199.64,3
49,ok,39.71,45.58,809.92,751.52,104,7.91,283.95,1.9399,740.08,441.39,300,-31.80,238.37,1.9399,240.48,240.49,2
50,ok,40.15,44.47,813.25,762.12,298,6.71,322.01,1.9449,745.00,439.90,401,-33.44,277.54,1.9449,279.55,279.55,2
51,ok,40.62,43.34,824.22,774.80,352,5.97,358.23,1.9487,751.89,440.18,435,-34.65,314.89,1.9487,316.79,316.80,2
52,ok,41.10,42.22,834.62,784.28,478,5.70,392.63,1.9511,756.93,440.90,478,-35.40,350.41,1.9511,352.19,352.20,2
53,ok,41.59,41.11,858.11,795.70,761,5.87,425.25,1.9524,763.23,442.15,492,-35.72,384.14,1.9524,385.80,385.80,2
54,ok,42.10,40.03,870.18,803.47,675,6.47,456.17,1.9524,769.66,443.33,441,-35.63,416.14,1.9524,417.66,417.67,3
55,ok,42.62,38.99,884.69,815.95,888,7.49,485.48,1.9512,776.39,445.51,485,-35.13,446.49,1.9512,447.87,447.87,2
56,ok,43.16,38.01,906.97,820.09,847,8.89,513.31,1.9489,785.33,447.63,460,-34.27,475.30,1.9489,476.53,476.54,2
57,ok,43.70,37.07,926.85,824.10,937,10.66,539.80,1.9454,792.72,450.68,452,-33.04,502.73,1.9454,503.81,503.82,3
58,ok,44.26,36.19,934.00,828.28,1123,12.79,565.12,1.9408,802.35,454.88,422,-31.47,528.93,1.9408,529.87,529.87,2
59,ok,44.82,35.36,931.98,831.07,961,15.23,589.43,1.9353,812.89,460.07,423,-29.59,554.07,1.9353,554.86,554.86,3
60,ok,45.40,34.58,934.79,831.13,901,17.97,612.92,1.9287,826.04,465.19,399,-27.43,578.34,1.9287,578.99,578.99,4
61,ok,46.00,33.85,947.69,826.78,467,20.97,635.75,1.9213,841.22,466.68,322,-25.03,601.90,1.9213,602.42,602.42,4
62,ok,46.61,33.16,948.84,827.43,516,24.23,657.93,1.9129,859.33,475.52,189,-22.38,624.77,1.9129,625.17,625.17,4
63,ok,47.24,32.52,949.68,827.70,457,27.70,679.67,1.9038,877.63,453.35,81,-19.54,647.15,1.9038,647.44,647.45,5
64,ok,47.89,31.92,951.22,828.14,459,31.42,700.33,1.8936,903.22,476.33,152,-16.47,668.41,1.8936,668.61,668.62,3
65,ok,48.56,31.37,951.27,828.37,455,35.32,720.48,1.8827,929.17,475.83,116,-13.24,689.11,1.8827,689.24,689.24,3
66,ok,49.25,30.87,952.62,827.96,448,39.37,740.07,1.8709,955.79,474.36,110,-9.88,709.20,1.8709,709.27,709.27,4
67,ok,49.97,30.41,952.86,828.26,439,43.55,759.00,1.8584,982.48,471.44,126,-6.42,728.59,1.8584,728.62,728.62,3
68,ok,50.71,30.01,953.79,827.90,460,47.73,777.68,1.8457,1007.80,467.77,139,-2.98,747.67,1.8457,747.68,747.68,3
69,ok,51.47,29.64,954.17,827.68,460,52.09,793.95,1.8335,1033.53,464.17,180,0.62,764.31,1.8335,764.31,764.31,3
70,ok,52.25,29.33,955.54,826.90,476,56.62,807.66,1.8217,1058.63,461.28,169,4.37,778.33,1.8217,778.34,778.34,4
71,ok,53.06,29.06,956.41,826.84,483,61.29,818.65,1.8104,1082.06,458.66,158,8.23,789.59,1.8104,789.63,789.63,4
72,ok,53.89,28.83,957.48,825.92,482,66.07,826.84,1.7995,1103.92,457.61,135,12.18,798.01,1.7995,798.10,798.10,5
73,ok,54.74,28.65,957.34,824.67,524,70.95,832.20,1.7890,1122.86,457.14,144,16.21,803.55,1.7890,803.71,803.72,4
74,ok,55.62,28.52,958.75,824.16,541,75.89,834.78,1.7789,1139.94,458.76,157,20.27,806.26,1.7789,806.51,806.52,4
75,ok,56.51,28.43,962.05,823.39,473,80.89,834.72,1.7692,1155.03,461.61,164,24.38,806.29,1.7692,806.66,806.66,4
76,ok,57.43,28.40,964.45,821.81,453,85.94,832.22,1.7602,1166.85,464.91,182,28.51,803.82,1.7602,804.33,804.33,3
77,ok,58.37,28.41,967.14,822.00,438,91.05,827.42,1.7517,1176.84,469.30,172,32.68,799.01,1.7517,799.68,799.68,3
78,ok,59.33,28.47,972.80,820.05,413,96.24,820.53,1.7439,1183.89,472.11,148,36.91,792.06,1.7439,792.92,792.92,3
79,ok,60.30,28.58,979.76,817.21,402,101.52,811.72,1.7368,1188.13,473.95,164,41.22,783.14,1.7368,784.22,784.23,3
80,ok,61.30,28.73,990.00,813.94,393,106.69,803.57,1.7300,1190.10,475.45,152,45.39,774.84,1.7300,776.17,776.17,3
81,ok,62.31,28.91,1007.99,810.64,302,111.77,796.28,1.7235,1190.58,475.07,142,49.46,767.37,1.7235,768.96,768.96,2
82,ok,63.34,29.12,1029.94,806.26,176,116.80,790.01,1.7174,1190.96,474.53,148,53.46,760.89,1.7174,762.77,762.77,2
83,ok,64.39,29.34,1055.90,798.52,121,121.80,784.85,1.7116,1191.00,474.66,149,57.41,755.51,1.7116,757.69,757.69,2
84,ok,65.44,29.57,1081.91,791.42,154,126.79,780.81,1.7061,1191.06,473.93,143,61.35,751.24,1.7061,753.74,753.74,2
85,ok,66.51,29.78,1107.33,783.86,238,131.78,777.88,1.7010,1191.54,472.81,139,65.27,748.10,1.7010,750.94,750.94,2
86,ok,67.58,29.98,1133.21,781.83,228,136.76,775.97,1.6963,1192.60,470.25,141,69.18,745.99,1.6963,749.19,749.19,2
87,ok,68.65,30.16,1166.84,783.77,353,141.73,774.95,1.6918,1193.94,469.12,120,73.08,744.79,1.6918,748.37,748.37,2
88,ok,69.72,30.31,1196.18,788.84,313,146.67,774.69,1.6876,1196.27,466.66,109,76.95,744.38,1.6876,748.35,748.35,3
89,ok,70.78,30.43,1221.48,797.55,537,151.55,775.02,1.6836,1198.97,466.20,127,80.77,744.59,1.6836,748.96,748.96,3
90,ok,71.84,30.55,1254.68,806.26,745,156.16,774.67,1.6781,1202.53,466.72,115,84.32,744.12,1.6781,748.88,748.88,2
91,ok,72.88,30.66,1288.95,814.76,815,160.50,773.57,1.6710,1206.45,465.92,118,87.62,742.91,1.6710,748.06,748.06,2
92,ok,73.90,30.77,1319.49,819.66,932,164.57,771.60,1.6624,1211.49,466.97,111,90.67,740.83,1.6624,746.36,746.36,2
93,ok,74.91,30.90,1344.89,818.51,1041,168.40,768.79,1.6521,1217.38,468.75,130,93.49,737.89,1.6521,743.79,743.79,2
94,ok,75.89,31.04,1364.12,814.69,1022,172.33,767.27,1.6421,1224.06,466.06,177,96.44,736.23,1.6421,742.52,742.52,3
95,ok,76.83,31.20,1386.89,807.68,446,176.38,767.52,1.6325,1233.23,474.50,126,99.55,736.32,1.6325,743.02,743.02,3
96,ok,77.75,31.36,1394.13,805.82,428,180.57,769.46,1.6232,1243.49,478.90,126,102.82,738.10,1.6232,745.23,745.23,3
97,ok,78.63,31.54,1394.62,808.95,460,184.97,773.43,1.6144,1254.88,483.50,121,106.34,741.89,1.6144,749.47,749.47,3
98,ok,79.47,31.74,1397.35,811.50,451,189.59,779.69,1.6059,1267.69,488.03,128,110.12,747.95,1.6059,756.01,756.01,3
99,ok,80.28,31.96,1403.11,810.23,526,194.57,789.10,1.5980,1281.47,493.22,136,114.29,757.14,1.5980,765.72,765.72,3
100,ok,81.06,32.21,1404.39,810.33,482,199.92,801.79,1.5907,1296.51,497.21,128,118.86,769.58,1.5907,778.70,778.71,3
101,ok,81.80,32.48,1404.54,809.79,433,205.65,817.85,1.5841,1312.43,497.99,145,123.85,785.37,1.5841,795.08,795.08,3
102,ok,82.52,32.79,1406.06,810.65,447,211.77,837.36,1.5782,1331.33,498.76,138,129.25,804.57,1.5782,814.89,814.89,3
103,ok,83.19,33.13,1406.83,810.60,436,218.28,860.37,1.5729,1351.42,499.16,153,135.09,827.24,1.5729,838.20,838.20,3
104,ok,83.84,33.51,1407.25,810.89,439,225.17,886.90,1.5685,1372.37,498.08,173,141.33,853.39,1.5685,865.01,865.02,3
105,ok,84.46,33.94,1407.33,811.09,455,232.45,916.94,1.5647,1392.37,495.91,156,147.99,883.00,1.5647,895.32,895.32,3
106,ok,85.05,34.40,1407.44,810.57,479,240.09,950.43,1.5617,1410.61,486.76,203,155.04,916.03,1.5617,929.06,929.06,3
107,ok,85.61,34.91,1404.89,808.66,466,247.57,983.73,1.5581,1428.77,486.36,130,161.96,948.82,1.5581,962.54,962.54,3
108,ok,86.14,35.46,1408.50,808.91,483,254.87,1016.77,1.5540,1449.57,479.33,134,168.73,981.31,1.5540,995.71,995.71,4
109,ok,86.65,36.05,1408.50,809.46,530,261.95,1049.35,1.5493,1465.36,472.48,119,175.30,1013.30,1.5493,1028.35,1028.35,4
110,ok,87.13,36.69,1408.87,809.13,519,268.75,1081.29,1.5439,1478.49,465.21,118,181.62,1044.60,1.5439,1060.27,1060.27,3
111,ok,87.58,37.36,1409.19,808.90,536,275.21,1112.36,1.5378,1487.47,458.29,126,187.63,1075.00,1.5378,1091.25,1091.25,4
112,ok,88.01,38.08,1410.70,807.80,533,281.27,1142.29,1.5308,1493.61,452.31,132,193.26,1104.21,1.5308,1120.99,1121.00,4
113,ok,88.42,38.85,1407.26,806.91,568,286.86,1170.86,1.5230,1492.06,448.55,132,198.44,1132.01,1.5230,1149.27,1149.27,4
114,ok,88.80,39.66,1407.81,805.60,556,291.93,1197.87,1.5142,1489.21,446.51,138,203.13,1158.21,1.5142,1175.89,1175.89,4
115,ok,89.17,40.51,1412.50,806.34,550,296.46,1223.22,1.5046,1486.39,445.84,144,207.29,1182.71,1.5046,1200.74,1200.74,4
116,ok,89.52,41.42,1410.08,804.47,492,300.45,1246.88,1.4939,1471.26,446.16,145,210.93,1205.46,1.4939,1223.78,1223.78,4
117,ok,89.85,42.39,1413.84,804.20,526,303.93,1268.88,1.4824,1459.03,446.80,151,214.08,1226.49,1.4824,1245.03,1245.03,3
118,ok,90.17,43.41,1415.16,802.70,525,306.92,1289.29,1.4699,1437.95,448.52,183,216.75,1245.88,1.4699,1264.59,1264.59,4
119,ok,90.48,44.49,1415.44,801.18,499,309.49,1308.24,1.4565,1414.16,449.00,181,219.01,1263.75,1.4565,1282.59,1282.59,3
120,ok,90.79,45.61,1415.27,798.57,502,311.67,1325.77,1.4422,1388.10,803.58,198,220.88,1280.16,1.4422,1299.08,1299.08,2
121,ok,91.08,46.78,1411.96,795.30,462,313.95,1344.28,1.4304,1384.63,798.85,191,222.87,1297.50,1.4304,1316.50,1316.50,2
122,foot_only,91.38,47.99,1407.74,789.44,573,316.34,1363.76,1.4213,,,,224.96,1315.77,1.4213,1334.86,1334.86,1
123,foot_only,91.67,49.24,1402.23,782.38,683,318.83,1384.21,1.4146,,,,227.16,1334.97,1.4146,1354.16,1354.16,1
124,ok,91.96,50.50,1394.27,775.08,684,321.43,1405.62,1.4106,1331.99,426.02,91,229.47,1355.12,1.4106,1374.41,1374.41,2
125,ok,92.26,51.79,1392.52,769.35,603,323.43,1423.58,1.4053,1321.77,423.29,102,231.17,1371.79,1.4053,1391.13,1391.13,2
126,ok,92.56,53.08,1391.44,765.79,652,324.81,1437.66,1.3987,1316.61,423.01,165,232.25,1384.58,1.3987,1403.92,1403.92,2
127,ok,92.87,54.39,1385.63,759.99,586,325.55,1447.71,1.3909,1308.51,420.52,170,232.68,1393.32,1.3909,1412.61,1412.62,2
128,ok,93.18,55.70,1387.14,755.50,450,325.60,1453.17,1.3816,1309.43,419.28,125,232.42,1397.47,1.3816,1416.67,1416.67,4
129,ok,93.50,57.01,1386.42,749.68,401,324.89,1453.71,1.3712,1312.60,414.63,70,231.39,1396.70,1.3712,1415.74,1415.74,2
130,foot_only,93.83,58.32,1388.79,743.12,188,323.19,1447.83,1.3594,,,,229.36,1389.51,1.3594,1408.31,1408.31,1
131,foot_only,94.16,59.62,1390.72,736.75,181,320.49,1435.47,1.3462,,,,226.33,1375.85,1.3462,1394.34,1394.34,1
132,foot_only,94.49,60.90,1389.07,732.27,269,316.79,1416.60,1.3316,,,,222.30,1355.70,1.3316,1373.80,1373.81,1
133,foot_only,94.82,62.16,1394.87,728.96,362,312.11,1391.21,1.3155,,,,217.29,1329.05,1.3155,1346.70,1346.70,1
134,foot_only,95.15,63.39,1399.28,724.99,420,306.44,1359.29,1.2980,,,,211.29,1295.90,1.2980,1313.01,1313.01,1
135,foot_only,95.48,64.60,1404.86,722.32,456,299.80,1320.86,1.2790,,,,204.32,1256.26,1.2790,1272.77,1272.77,1
136,foot_only,95.80,65.78,1407.05,720.53,641,292.18,1275.91,1.2585,,,,196.38,1210.13,1.2585,1225.96,1225.96,1
137,ok,96.12,66.93,1412.22,718.26,776,283.61,1224.46,1.2366,1498.75,627.40,77,187.49,1157.53,1.2366,1172.62,1172.62,2
138,ok,96.44,68.05,1420.11,718.57,726,275.10,1173.51,1.2156,1496.28,626.03,122,178.66,1105.46,1.2156,1119.80,1119.80,2
139,ok,96.74,69.15,1426.10,720.39,728,266.64,1123.05,1.1953,1492.71,627.52,82,169.90,1053.90,1.1953,1067.51,1067.51,2
140,foot_only,97.03,70.23,1434.65,722.57,568,258.28,1073.16,1.1759,,,,161.25,1002.93,1.1759,1015.81,1015.81,1
141,foot_only,97.31,71.32,1434.60,723.13,727,250.03,1023.91,1.1574,,,,152.72,952.59,1.1574,964.75,964.76,1
142,ok,97.59,72.40,1438.26,723.55,687,241.93,975.42,1.1399,1481.61,629.99,92,144.34,903.02,1.1399,914.48,914.48,2
143,ok,97.84,73.48,1437.68,722.60,750,234.01,927.79,1.1232,1474.81,627.06,118,136.17,854.31,1.1232,865.09,865.09,2
144,foot_only,98.09,74.57,1437.27,721.63,716,226.31,881.15,1.1076,,,,128.22,806.58,1.1076,816.71,816.71,1
145,foot_only,98.32,75.65,1434.20,721.24,728,218.84,835.60,1.0929,,,,120.52,759.95,1.0929,769.45,769.45,1
146,foot_only,98.54,76.72,1434.21,720.98,673,211.62,791.18,1.0792,,,,113.08,714.46,1.0792,723.35,723.35,1
147,foot_only,98.75,77.79,1430.67,720.95,459,204.66,747.93,1.0665,,,,105.91,670.14,1.0665,678.46,678.46,1
148,foot_only,98.93,78.86,1423.18,716.39,74,197.94,705.81,1.0548,,,,99.01,626.95,1.0548,634.72,634.72,1
149,filled_from_previous,99.10,79.92,1423.18,716.39,74,191.44,664.83,1.0441,,,,92.34,584.91,1.0441,592.15,592.15,0
150,foot_only,99.26,80.98,1444.17,723.23,78,185.14,624.92,1.0344,,,,85.88,543.94,1.0344,550.68,550.68,1
151,foot_only,99.39,82.04,1438.61,717.84,527,179.02,586.07,1.0257,,,,79.63,504.03,1.0257,510.28,510.28,1
152,foot_only,99.50,83.09,1433.79,716.37,806,172.83,547.09,1.0163,,,,73.33,464.00,1.0163,469.76,469.76,1
153,foot_only,99.59,84.15,1433.08,714.74,813,166.59,507.99,1.0061,,,,67.00,423.84,1.0061,429.10,429.10,1
154,foot_only,99.65,85.20,1432.88,715.13,779,160.28,468.77,0.9952,,,,60.63,383.57,0.9952,388.33,388.33,1
155,foot_only,99.68,86.26,1431.74,715.86,812,153.91,429.42,0.9836,,,,54.23,343.16,0.9836,347.42,347.42,1
156,foot_only,99.68,87.32,1431.99,714.56,789,147.82,392.14,0.9731,,,,48.14,304.82,0.9731,308.60,308.60,1
157,foot_only,99.65,88.38,1432.24,714.30,750,142.04,357.16,0.9637,,,,42.39,268.78,0.9637,272.10,272.10,1
158,foot_only,99.59,89.46,1431.02,713.51,690,136.58,324.50,0.9556,,,,36.99,235.04,0.9556,237.93,237.93,1
159,ok,99.50,90.53,1430.06,712.68,694,131.45,294.43,0.9486,1323.47,608.27,75,31.95,203.90,0.9486,206.39,206.39,2
160,ok,99.37,91.62,1428.71,711.53,716,126.71,267.04,0.9425,1318.61,607.96,112,27.34,175.42,0.9425,177.54,177.54,2
161,ok,99.21,92.71,1425.49,709.23,622,122.50,243.05,0.9374,1314.50,619.70,247,23.29,150.34,0.9374,152.13,152.14,2
162,foot_only,99.02,93.82,1425.72,708.89,462,118.81,222.52,0.9332,,,,19.79,128.70,0.9332,130.21,130.22,1
163,foot_only,98.80,94.94,1423.12,705.18,408,115.64,205.44,0.9301,,,,16.84,110.50,0.9301,111.78,111.78,1
164,foot_only,98.55,96.08,1418.53,703.09,369,113.00,191.81,0.9280,,,,14.45,95.73,0.9280,96.81,96.82,1
165,foot_only,98.27,97.24,1416.06,700.19,273,110.88,181.63,0.9269,,,,12.61,84.39,0.9269,85.33,85.33,1
166,foot_only,97.96,98.40,1409.27,692.44,106,109.28,174.90,0.9269,,,,11.32,76.50,0.9269,77.33,77.34,1
167,filled_from_previous,97.62,99.57,1409.27,692.44,106,108.21,171.63,0.9279,,,,10.59,72.06,0.9279,72.83,72.84,0
168,filled_from_previous,97.26,100.74,1409.27,692.44,106,107.66,171.80,0.9299,,,,10.40,71.06,0.9299,71.82,71.82,0
169,filled_from_previous,96.87,101.92,1409.27,692.44,106,107.14,171.96,0.9318,,,,10.27,70.04,0.9318,70.79,70.80,0
170,foot_only,96.46,103.11,1376.24,670.21,82,106.65,172.11,0.9336,,,,10.19,69.00,0.9336,69.75,69.75,1
171,foot_only,96.02,104.26,1372.57,667.50,171,106.18,172.25,0.9353,,,,10.16,67.99,0.9353,68.74,68.75,1
172,foot_only,95.55,105.38,1369.99,667.26,337,105.75,172.39,0.9369,,,,10.20,67.01,0.9369,67.78,67.79,1
173,foot_only,95.07,106.46,1366.47,666.16,486,105.33,172.51,0.9384,,,,10.26,66.05,0.9384,66.84,66.85,1
174,foot_only,94.56,107.50,1363.01,667.87,492,104.94,172.62,0.9398,,,,10.38,65.12,0.9398,65.94,65.95,1
175,foot_only,94.03,108.50,1358.47,668.17,544,104.58,172.73,0.9411,,,,10.55,64.23,0.9411,65.09,65.10,1
176,foot_only,93.48,109.47,1350.48,668.96,530,104.24,172.82,0.9423,,,,10.76,63.35,0.9423,64.26,64.26,1
177,foot_only,92.91,110.41,1340.54,668.95,556,103.92,172.90,0.9434,,,,11.01,62.49,0.9434,63.45,63.46,1
178,foot_only,92.32,111.33,1328.83,668.18,508,103.63,172.98,0.9444,,,,11.31,61.65,0.9444,62.68,62.69,1
179,foot_only,91.73,112.22,1316.29,666.47,486,103.36,173.04,0.9453,,,,11.63,60.82,0.9453,61.92,61.93,1
180,foot_only,91.11,113.08,1309.22,665.35,194,103.11,173.10,0.9461,,,,12.00,60.02,0.9461,61.21,61.22,1
181,filled_from_previous,90.49,113.92,1309.22,665.35,194,102.89,173.15,0.9469,,,,12.40,59.23,0.9469,60.51,60.52,0
182,filled_from_previous,89.86,114.75,1309.22,665.35,194,102.69,173.18,0.9475,,,,12.83,58.43,0.9475,59.82,59.83,0
183,foot_only,89.21,115.57,1259.46,665.04,336,102.52,173.21,0.9481,,,,13.31,57.64,0.9481,59.16,59.16,1
184,foot_only,88.55,116.39,1249.04,664.18,484,102.37,173.23,0.9485,,,,13.82,56.84,0.9485,58.50,58.50,1
185,foot_only,87.89,117.21,1236.81,664.73,500,102.24,173.24,0.9489,,,,14.35,56.03,0.9489,57.84,57.85,1
186,foot_only,87.23,118.03,1224.94,665.99,502,102.14,173.24,0.9491,,,,14.91,55.21,0.9491,57.19,57.20,1
187,foot_only,86.57,118.85,1214.91,666.88,501,102.06,173.24,0.9493,,,,15.49,54.39,0.9493,56.55,56.56,1
188,foot_only,85.91,119.67,1207.90,668.57,491,102.00,173.22,0.9494,,,,16.09,53.55,0.9494,55.92,55.92,1
189,foot_only,85.24,120.48,1208.12,670.49,490,101.97,173.19,0.9494,,,,16.73,52.71,0.9494,55.30,55.31,1
190,foot_only,84.57,121.28,1207.69,669.13,514,101.96,173.16,0.9493,,,,17.39,51.88,0.9493,54.72,54.73,1
191,foot_only,83.89,122.06,1205.28,668.40,517,101.96,173.14,0.9492,,,,18.07,51.08,0.9492,54.18,54.19,1
192,foot_only,83.19,122.81,1204.82,666.58,479,101.96,173.14,0.9492,,,,18.77,50.33,0.9492,53.72,53.72,1
193,foot_only,82.48,123.54,1203.93,665.93,490,101.96,173.14,0.9492,,,,19.48,49.60,0.9492,53.29,53.30,1
194,foot_only,81.75,124.22,1203.58,665.29,477,101.96,173.14,0.9492,,,,20.21,48.92,0.9492,52.93,52.94,1
195,foot_only,81.00,124.88,1202.88,664.41,479,101.96,173.14,0.9492,,,,20.96,48.26,0.9492,52.62,52.62,1
196,foot_only,80.23,125.51,1202.32,664.52,407,101.96,173.14,0.9492,,,,21.73,47.63,0.9492,52.35,52.36,1
197,foot_only,79.44,126.10,1200.83,664.50,295,101.96,173.14,0.9492,,,,22.52,47.04,0.9492,52.15,52.16,1
