frame,color,cx,cy,x,y,w,h,area
10,red,749.14,455.69,736,381,25,135,1979
10,red,915.04,428.04,912,421,7,15,83
10,red,913.90,665.98,878,600,62,134,5347
10,red,810.88,684.90,789,613,49,153,5489
10,red,813.54,792.70,805,788,18,10,105
10,blue,769.22,594.72,766,584,7,21,99
10,blue,553.57,685.07,543,673,22,24,468
10,blue,1392.16,689.27,1381,677,23,24,441
10,blue,228.53,887.87,224,878,9,18,124
11,red,854.10,202.22,822,165,63,80,2905
11,red,890.00,294.88,882,291,16,8,77
11,red,883.92,313.66,877,309,16,10,131
11,red,941.06,366.85,914,344,49,45,1314
11,red,747.98,457.28,735,384,25,131,1928
11,red,913.92,427.85,911,422,7,13,75
11,red,913.76,665.82,878,600,63,134,5371
11,red,810.74,684.87,789,613,49,153,5504
11,red,814.21,792.21,805,787,20,11,115
11,blue,768.07,595.68,765,588,7,16,73
11,blue,553.66,684.60,543,672,22,25,472
11,blue,1392.58,689.36,1381,677,23,24,447
11,blue,228.57,887.61,224,877,9,19,127
12,red,852.04,201.18,820,157,63,88,2966
12,red,887.63,294.91,880,291,16,8,76
12,red,881.61,313.81,875,309,16,10,130
12,red,940.12,365.83,913,342,48,46,1310
12,red,746.33,457.26,733,379,25,135,1846
12,red,911.92,428.55,908,422,8,15,88
12,red,913.33,665.85,877,600,63,134,5393
12,red,810.50,685.18,789,613,48,153,5492
12,red,814.40,792.24,805,787,20,11,119
12,blue,767.07,596.65,764,591,6,12,54
12,blue,553.71,684.63,542,672,24,25,482
12,blue,1392.92,689.38,1381,677,24,24,445
12,blue,228.57,887.61,224,877,9,19,127
13,red,849.79,201.88,817,158,64,87,2963
13,red,884.47,294.89,877,291,16,8,72
13,red,878.78,313.69,872,309,16,10,130
13,red,938.03,365.67,911,342,48,46,1304
13,red,744.18,457.01,731,377,25,136,1806
13,red,908.98,428.24,906,422,7,14,80
13,red,912.23,665.66,876,600,63,134,5403
13,red,809.62,684.84,788,612,48,154,5472
13,red,813.73,792.57,804,788,21,10,124
13,blue,553.59,684.51,543,672,22,25,476
13,blue,1392.38,689.36,1381,677,23,24,444
13,blue,228.57,887.61,224,877,9,19,127
14,red,846.79,202.23,814,158,64,87,2943
14,red,882.15,294.07,875,290,15,8,75
14,red,875.97,313.41,869,309,16,10,124
14,red,934.35,366.62,906,344,50,46,1360
14,red,741.94,458.59,729,376,25,138,1774
14,red,905.28,425.63,902,422,8,9,54
14,red,911.32,665.54,874,600,65,134,5449
14,red,809.25,684.43,788,611,47,155,5482
14,red,814.02,792.07,804,787,21,11,117
14,blue,553.56,684.49,543,672,22,25,475
14,blue,1392.31,688.98,1381,677,23,24,436
14,blue,228.57,887.61,224,877,9,19,127
15,red,843.48,202.47,810,159,65,86,3011
15,red,871.71,293.84,859,287,28,13,171
15,red,872.83,313.26,866,309,16,10,121
15,red,932.96,369.73,907,348,47,46,1315
15,red,739.34,458.86,726,375,25,139,1754
15,red,905.36,430.62,902,424,7,16,61
15,red,910.25,665.52,873,600,65,134,5470
15,red,808.59,684.50,787,611,47,155,5482
15,red,813.07,792.43,804,788,19,10,106
15,blue,553.55,684.79,543,672,22,25,466
15,blue,1392.20,688.96,1381,677,23,24,438
15,blue,228.57,887.61,224,877,9,19,127
16,red,840.93,203.13,807,160,65,85,2877
16,red,875.94,294.15,868,290,16,8,85
16,red,869.35,313.36,863,309,15,10,117
16,red,930.80,373.36,906,347,46,54,1498
16,red,736.42,460.49,724,382,24,133,1721
16,red,903.11,432.27,901,426,5,13,56
16,red,909.03,665.41,871,600,66,135,5507
16,red,807.97,684.67,787,610,46,156,5510
16,red,813.04,792.45,804,788,19,10,104
16,blue,553.25,684.83,542,672,23,25,481
16,blue,1392.12,688.97,1381,677,23,24,437
16,blue,228.57,887.61,224,877,9,19,127
16,blue,1668.61,898.29,1667,893,4,11,41
17,red,837.06,204.04,804,162,65,83,2927
17,red,871.65,294.06,864,290,16,8,80
17,red,865.82,313.41,859,309,16,10,123
17,red,929.13,383.08,906,347,44,71,1744
17,red,733.59,461.72,721,384,24,132,1651
17,red,901.47,433.27,899,426,6,15,62
17,red,897.76,452.10,894,447,9,11,51
17,red,908.15,665.56,869,601,68,134,5544
17,red,807.36,684.73,786,611,46,155,5555
17,red,813.25,792.29,804,788,20,10,103
17,blue,553.43,684.65,542,672,23,25,482
17,blue,1392.20,688.95,1381,677,23,24,438
