frame,color,cx,cy,x,y,w,h,area
219,red,990.04,251.30,967,228,48,49,1509
219,red,967.05,412.74,920,371,85,98,1596
219,red,1012.66,608.35,946,552,104,115,5643
219,blue,553.74,685.03,543,673,22,24,453
219,blue,1392.05,688.77,1381,677,22,23,420
219,blue,228.15,888.30,224,878,9,18,110
